#======================================
Workload_ID,    App_ID,SubmitTime,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 162, 0, 70.121, 70.121, 123.933, 53.812, 1223, 123.933, 124.759, 0.827, 519, 0, 124.759, 126.384, 1.625, 1556,    56.263,
 163, 0, 70.365, 70.365, 124.635, 54.27, 1406, 124.635, 125.438, 0.803, 501, 0, 125.438, 127.135, 1.697, 1502,    56.769,
 164, 0, 70.545, 70.545, 125.378, 54.833, 1486, 125.378, 126.156, 0.778, 460, 0, 126.156, 127.824, 1.668, 1379,    57.278,
 165, 0, 70.656, 70.656, 126.192, 55.536, 1628, 126.192, 127.045, 0.853, 585, 0, 127.045, 128.701, 1.657, 1756,    58.046,
 166, 0, 71.181, 71.181, 127.045, 55.864, 1707, 127.045, 127.853, 0.808, 510, 0, 127.853, 129.467, 1.614, 1531,    58.286,
 167, 0, 71.276, 71.276, 127.769, 56.493, 1450, 127.769, 128.555, 0.786, 473, 0, 128.555, 130.176, 1.62, 1419,    58.900,
 168, 0, 71.508, 71.508, 128.517, 57.01, 1497, 128.517, 129.299, 0.781, 465, 0, 129.299, 130.892, 1.594, 1396,    59.384,
 169, 0, 71.566, 71.566, 129.31, 57.744, 1585, 129.31, 130.14, 0.83, 546, 0, 130.14, 131.711, 1.571, 1638,    60.144,
 170, 0, 71.626, 71.626, 130.16, 58.534, 1671, 130.16, 130.977, 0.818, 526, 0, 130.977, 132.499, 1.522, 1577,    60.873,
 171, 0, 72.175, 72.175, 130.953, 58.778, 1586, 130.953, 131.764, 0.812, 516, 0, 131.764, 133.272, 1.508, 1547,    61.098,
 172, 0, 72.955, 72.955, 131.744, 58.79, 1584, 131.744, 132.554, 0.81, 513, 0, 132.554, 134.042, 1.488, 1540,    61.087,
 173, 0, 73.281, 73.281, 132.519, 59.238, 1544, 132.519, 133.316, 0.797, 491, 0, 133.316, 134.778, 1.462, 1472,    61.497,
 174, 0, 73.854, 73.854, 133.308, 59.454, 1578, 133.308, 134.098, 0.79, 480, 0, 134.098, 135.497, 1.399, 1439,    61.643,
 175, 0, 74.038, 74.038, 133.944, 59.906, 1273, 133.944, 134.756, 0.812, 531, 0, 134.756, 136.293, 1.537, 1594,    62.255,
 176, 0, 74.165, 74.165, 134.603, 60.438, 1318, 134.603, 135.435, 0.833, 551, 0, 135.435, 137.119, 1.684, 1652,    62.955,
 177, 0, 74.26, 74.26, 135.285, 61.025, 1365, 135.285, 136.117, 0.832, 550, 0, 136.117, 137.944, 1.827, 1651,    63.684,
 178, 0, 74.84, 74.84, 136.082, 61.242, 1594, 136.082, 136.916, 0.834, 553, 0, 136.916, 138.773, 1.857, 1658,    63.933,
 179, 0, 75.002, 75.002, 136.825, 61.823, 1458, 136.825, 137.627, 0.802, 464, 0, 137.627, 139.469, 1.842, 1393,    64.467,
 180, 0, 75.149, 75.149, 137.671, 62.522, 1693, 137.671, 138.433, 0.762, 433, 0, 138.433, 140.118, 1.684, 1298,    64.968,
 181, 0, 75.607, 75.607, 138.415, 62.808, 1488, 138.415, 139.217, 0.802, 499, 0, 139.217, 140.865, 1.649, 1496,    65.258,
 182, 0, 75.627, 75.627, 139.248, 63.62, 1666, 139.248, 140.067, 0.819, 529, 0, 140.067, 141.659, 1.592, 1587,    66.031,
 183, 0, 75.88, 75.88, 139.945, 64.065, 1396, 139.945, 140.712, 0.767, 441, 0, 140.712, 142.32, 1.608, 1324,    66.440,
 184, 0, 75.908, 75.908, 140.676, 64.768, 1462, 140.676, 141.476, 0.8, 497, 0, 141.476, 143.065, 1.589, 1490,    67.157,
 186, 0, 77.71, 77.71, 141.352, 63.641, 1352, 141.352, 142.139, 0.787, 475, 0, 142.139, 143.783, 1.644, 1426,    66.073,
 187, 0, 77.824, 77.824, 142.137, 64.313, 1571, 142.137, 142.94, 0.803, 502, 0, 142.94, 144.535, 1.595, 1505,    66.711,
 190, 0, 78.266, 78.266, 142.966, 64.7, 1658, 142.966, 143.783, 0.818, 540, 0, 143.783, 145.345, 1.562, 1620,    67.079,
 191, 0, 79.242, 79.242, 143.659, 64.417, 1387, 143.659, 144.495, 0.836, 556, 0, 144.495, 146.179, 1.684, 1668,    66.936,
 196, 0, 79.937, 79.937, 144.359, 64.422, 1400, 144.359, 145.182, 0.823, 535, 0, 145.182, 146.981, 1.799, 1606,    67.044,
 199, 0, 80.685, 80.685, 145.153, 64.469, 1589, 145.153, 145.909, 0.755, 422, 0, 145.909, 147.614, 1.705, 1266,    66.929,
 202, 0, 82.047, 82.047, 145.888, 63.841, 1470, 145.888, 146.687, 0.799, 465, 0, 146.687, 148.311, 1.624, 1395,    66.264,
 203, 0, 82.192, 82.192, 146.614, 64.421, 1428, 146.614, 147.437, 0.823, 535, 0, 147.437, 149.113, 1.676, 1605,    66.921,
 204, 0, 83.141, 83.141, 147.393, 64.252, 1560, 147.393, 148.17, 0.776, 457, 0, 148.17, 149.798, 1.628, 1370,    66.657,
 206, 0, 83.438, 83.438, 148.099, 64.661, 1412, 148.099, 148.92, 0.821, 532, 0, 148.92, 150.596, 1.676, 1597,    67.158,
 209, 0, 84.165, 84.165, 148.845, 64.68, 1492, 148.845, 149.678, 0.833, 551, 0, 149.678, 151.422, 1.744, 1653,    67.257,
 212, 0, 85.261, 85.261, 149.606, 64.345, 1523, 149.606, 150.438, 0.832, 550, 0, 150.438, 152.246, 1.808, 1649,    66.985,
 214, 0, 86.096, 86.096, 150.372, 64.276, 1532, 150.372, 151.159, 0.787, 474, 0, 151.159, 152.958, 1.799, 1423,    66.862,
 215, 0, 86.402, 86.402, 151.131, 64.729, 1518, 151.131, 151.945, 0.815, 521, 0, 151.945, 153.739, 1.794, 1564,    67.337,
 218, 0, 87.58, 87.58, 151.986, 64.406, 1712, 151.986, 152.776, 0.79, 479, 0, 152.776, 154.471, 1.695, 1436,    66.891,
 222, 0, 88.181, 88.181, 152.748, 64.567, 1523, 152.748, 153.557, 0.809, 512, 0, 153.557, 155.238, 1.681, 1535,    67.058,
 224, 0, 89.012, 89.012, 153.488, 64.476, 1481, 153.488, 154.272, 0.784, 470, 0, 154.272, 155.943, 1.671, 1410,    66.931,
 226, 0, 89.775, 89.775, 154.156, 64.38, 1336, 154.156, 154.946, 0.79, 475, 0, 154.946, 156.656, 1.71, 1425,    66.880,
 229, 0, 90.54, 90.54, 154.831, 64.291, 1352, 154.831, 155.643, 0.811, 522, 0, 155.643, 157.438, 1.796, 1566,    66.898,
 230, 0, 91.149, 91.149, 155.619, 64.47, 1575, 155.619, 156.428, 0.809, 512, 0, 156.428, 158.206, 1.778, 1535,    67.057,
 231, 0, 92.454, 92.454, 156.386, 63.931, 1534, 156.386, 157.192, 0.806, 507, 0, 157.192, 158.965, 1.774, 1520,    66.511,
 233, 0, 92.662, 92.662, 157.212, 64.55, 1617, 157.212, 158.01, 0.798, 493, 0, 158.01, 159.704, 1.695, 1479,    67.042,
 237, 0, 93.366, 93.366, 158.03, 64.664, 1602, 158.03, 158.828, 0.798, 493, 0, 158.828, 160.444, 1.616, 1479,    67.077,
 239, 0, 94.83, 94.83, 158.772, 63.942, 1485, 158.772, 159.565, 0.793, 485, 0, 159.565, 161.171, 1.606, 1455,    66.341,
 240, 0, 95.286, 95.286, 159.481, 64.195, 1419, 159.481, 160.273, 0.791, 482, 0, 160.273, 161.894, 1.621, 1447,    66.608,
 241, 0, 95.624, 95.624, 160.246, 64.622, 1529, 160.246, 161.056, 0.81, 513, 0, 161.056, 162.663, 1.607, 1538,    67.039,
 243, 0, 96.782, 96.782, 160.891, 64.109, 1291, 160.891, 161.696, 0.805, 505, 0, 161.696, 163.419, 1.723, 1514,    66.637,
 246, 0, 97.163, 97.163, 161.658, 64.495, 1534, 161.658, 162.473, 0.815, 521, 0, 162.473, 164.201, 1.729, 1564,    67.039,
 250, 0, 98.037, 98.037, 162.422, 64.385, 1529, 162.422, 163.212, 0.79, 480, 0, 163.212, 164.921, 1.708, 1440,    66.884,
 252, 0, 98.603, 98.603, 163.175, 64.572, 1506, 163.175, 163.971, 0.796, 490, 0, 163.971, 165.656, 1.685, 1471,    67.053,
 255, 0, 99.421, 99.421, 163.991, 64.569, 1600, 163.991, 164.81, 0.82, 529, 0, 164.81, 166.449, 1.639, 1586,    67.028,
#======================================
#Number of workloads:216
#Timeout workloads:41
#Timeout workloads per cent:0.15953307392996108
#Over workloads:0
#Over workloads per cent:0.0
#Number of Cloudlets:432
#Over Cloudlets:0
#Over Cloudlets per cent:0.0
#Number of transmissions:216
#Over transmissions:216
#Over transmissions per cent:1.0
#======================================
#Total serve time:8300.160955340685
#CPU serve time:8126.647378390779
#Network serve time:173.51357694990077
#Average total serve time:38.42667108954021
#Average CPU serve time per workload:37.6233674925499
#Average network serve time per workload:0.8033035969902813
#Average CPU serve time per Cloudlet:18.81168374627495
#Average network serve time per transmission:0.8033035969902813
