time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),Egress,latency_demand(s)
248.0,chain2,Ingress3,8,8,SF-A,404,12,SF-B,646,6,SF-D,808,3,Egress2,1000.0
249.0,chain2,Ingress3,10,10,SF-A,522,15,SF-B,836,7,SF-D,1045,3,Egress2,1000.0
250.0,chain2,Ingress3,11,11,SF-A,594,16,SF-B,950,8,SF-D,1188,4,Egress2,1000.0
251.0,chain2,Ingress3,8,8,SF-A,407,12,SF-B,651,6,SF-D,814,3,Egress2,1000.0
252.0,chain2,Ingress3,8,8,SF-A,436,12,SF-B,698,6,SF-D,873,3,Egress2,1000.0
253.0,chain2,Ingress3,11,11,SF-A,554,16,SF-B,887,8,SF-D,1108,4,Egress2,1000.0
254.0,chain2,Ingress3,11,11,SF-A,570,16,SF-B,912,8,SF-D,1140,4,Egress2,1000.0
255.0,chain2,Ingress3,8,8,SF-A,404,12,SF-B,646,6,SF-D,808,3,Egress2,1000.0
256.0,chain2,Ingress3,10,10,SF-A,521,15,SF-B,835,7,SF-D,1043,3,Egress2,1000.0
257.0,chain2,Ingress3,11,11,SF-A,599,16,SF-B,958,8,SF-D,1198,4,Egress2,1000.0
258.0,chain2,Ingress3,8,8,SF-A,412,12,SF-B,660,6,SF-D,825,3,Egress2,1000.0
259.0,chain2,Ingress3,10,10,SF-A,531,15,SF-B,850,7,SF-D,1063,3,Egress2,1000.0
260.0,chain2,Ingress3,10,10,SF-A,527,15,SF-B,843,7,SF-D,1054,3,Egress2,1000.0
261.0,chain2,Ingress3,8,8,SF-A,415,12,SF-B,664,6,SF-D,830,3,Egress2,1000.0
262.0,chain2,Ingress3,10,10,SF-A,543,15,SF-B,869,7,SF-D,1086,3,Egress2,1000.0
263.0,chain2,Ingress3,8,8,SF-A,434,12,SF-B,694,6,SF-D,868,3,Egress2,1000.0
264.0,chain2,Ingress3,9,9,SF-A,487,13,SF-B,780,6,SF-D,975,3,Egress2,1000.0
265.0,chain2,Ingress3,8,8,SF-A,418,12,SF-B,669,6,SF-D,836,3,Egress2,1000.0
266.0,chain2,Ingress3,10,10,SF-A,522,15,SF-B,836,7,SF-D,1045,3,Egress2,1000.0
267.0,chain2,Ingress3,11,11,SF-A,562,16,SF-B,899,8,SF-D,1124,4,Egress2,1000.0
268.0,chain2,Ingress3,10,10,SF-A,529,15,SF-B,846,7,SF-D,1058,3,Egress2,1000.0
269.0,chain2,Ingress3,11,11,SF-A,564,16,SF-B,902,8,SF-D,1128,4,Egress2,1000.0
270.0,chain2,Ingress3,11,11,SF-A,567,16,SF-B,907,8,SF-D,1134,4,Egress2,1000.0
271.0,chain2,Ingress3,11,11,SF-A,551,16,SF-B,882,8,SF-D,1103,4,Egress2,1000.0
272.0,chain2,Ingress3,10,10,SF-A,520,15,SF-B,833,7,SF-D,1041,3,Egress2,1000.0
273.0,chain2,Ingress3,8,8,SF-A,440,12,SF-B,704,6,SF-D,880,3,Egress2,1000.0
274.0,chain2,Ingress3,8,8,SF-A,439,12,SF-B,702,6,SF-D,878,3,Egress2,1000.0
275.0,chain2,Ingress3,9,9,SF-A,468,13,SF-B,750,6,SF-D,937,3,Egress2,1000.0
276.0,chain2,Ingress3,10,10,SF-A,511,15,SF-B,818,7,SF-D,1023,3,Egress2,1000.0
277.0,chain2,Ingress3,9,9,SF-A,466,13,SF-B,746,6,SF-D,932,3,Egress2,1000.0
278.0,chain2,Ingress3,9,9,SF-A,468,13,SF-B,750,6,SF-D,937,3,Egress2,1000.0
279.0,chain2,Ingress3,11,11,SF-A,596,16,SF-B,954,8,SF-D,1192,4,Egress2,1000.0
280.0,chain2,Ingress3,8,8,SF-A,430,12,SF-B,688,6,SF-D,860,3,Egress2,1000.0
281.0,chain2,Ingress3,11,11,SF-A,553,16,SF-B,885,8,SF-D,1106,4,Egress2,1000.0
282.0,chain2,Ingress3,9,9,SF-A,477,13,SF-B,764,6,SF-D,955,3,Egress2,1000.0
283.0,chain2,Ingress3,10,10,SF-A,549,15,SF-B,878,7,SF-D,1098,3,Egress2,1000.0
284.0,chain2,Ingress3,9,9,SF-A,499,13,SF-B,799,6,SF-D,999,3,Egress2,1000.0
285.0,chain2,Ingress3,10,10,SF-A,541,15,SF-B,865,7,SF-D,1082,3,Egress2,1000.0
286.0,chain2,Ingress3,9,9,SF-A,471,13,SF-B,755,6,SF-D,943,3,Egress2,1000.0
287.0,chain2,Ingress3,11,11,SF-A,579,16,SF-B,927,8,SF-D,1158,4,Egress2,1000.0
288.0,chain2,Ingress3,10,10,SF-A,540,15,SF-B,864,7,SF-D,1080,3,Egress2,1000.0
289.0,chain2,Ingress3,10,10,SF-A,530,15,SF-B,849,7,SF-D,1061,3,Egress2,1000.0
290.0,chain2,Ingress3,8,8,SF-A,423,12,SF-B,677,6,SF-D,847,3,Egress2,1000.0
291.0,chain2,Ingress3,9,9,SF-A,467,13,SF-B,747,6,SF-D,934,3,Egress2,1000.0
292.0,chain2,Ingress3,11,11,SF-A,573,16,SF-B,917,8,SF-D,1147,4,Egress2,1000.0
293.0,chain2,Ingress3,9,9,SF-A,451,13,SF-B,722,6,SF-D,902,3,Egress2,1000.0
294.0,chain2,Ingress3,9,9,SF-A,496,13,SF-B,794,6,SF-D,992,3,Egress2,1000.0
295.0,chain2,Ingress3,8,8,SF-A,406,12,SF-B,650,6,SF-D,812,3,Egress2,1000.0
296.0,chain2,Ingress3,9,9,SF-A,481,13,SF-B,771,6,SF-D,963,3,Egress2,1000.0
297.0,chain2,Ingress3,10,10,SF-A,537,15,SF-B,859,7,SF-D,1074,3,Egress2,1000.0
298.0,chain2,Ingress3,11,11,SF-A,568,16,SF-B,909,8,SF-D,1136,4,Egress2,1000.0
299.0,chain2,Ingress3,11,11,SF-A,556,16,SF-B,890,8,SF-D,1113,4,Egress2,1000.0
300.0,chain2,Ingress3,10,10,SF-A,547,15,SF-B,875,7,SF-D,1094,3,Egress2,1000.0
301.0,chain2,Ingress3,9,9,SF-A,474,13,SF-B,759,6,SF-D,949,3,Egress2,1000.0
302.0,chain2,Ingress3,8,8,SF-A,439,12,SF-B,703,6,SF-D,879,3,Egress2,1000.0
303.0,chain2,Ingress3,9,9,SF-A,483,13,SF-B,774,6,SF-D,967,3,Egress2,1000.0
304.0,chain2,Ingress3,8,8,SF-A,408,12,SF-B,653,6,SF-D,817,3,Egress2,1000.0
305.0,chain2,Ingress3,10,10,SF-A,523,15,SF-B,837,7,SF-D,1046,3,Egress2,1000.0
306.0,chain2,Ingress3,11,11,SF-A,585,16,SF-B,937,8,SF-D,1171,4,Egress2,1000.0
307.0,chain2,Ingress3,10,10,SF-A,514,15,SF-B,822,7,SF-D,1028,3,Egress2,1000.0
308.0,chain2,Ingress3,8,8,SF-A,420,12,SF-B,673,6,SF-D,841,3,Egress2,1000.0
309.0,chain2,Ingress3,10,10,SF-A,520,15,SF-B,833,7,SF-D,1041,3,Egress2,1000.0
310.0,chain2,Ingress3,9,9,SF-A,484,13,SF-B,775,6,SF-D,969,3,Egress2,1000.0
311.0,chain2,Ingress3,8,8,SF-A,404,12,SF-B,647,6,SF-D,809,3,Egress2,1000.0
312.0,chain2,Ingress3,11,11,SF-A,565,16,SF-B,904,8,SF-D,1130,4,Egress2,1000.0
313.0,chain2,Ingress3,10,10,SF-A,542,15,SF-B,867,7,SF-D,1084,3,Egress2,1000.0
314.0,chain2,Ingress3,9,9,SF-A,450,13,SF-B,721,6,SF-D,901,3,Egress2,1000.0
315.0,chain2,Ingress3,9,9,SF-A,459,13,SF-B,735,6,SF-D,919,3,Egress2,1000.0
316.0,chain2,Ingress3,9,9,SF-A,490,13,SF-B,784,6,SF-D,980,3,Egress2,1000.0
317.0,chain2,Ingress3,10,10,SF-A,512,15,SF-B,820,7,SF-D,1025,3,Egress2,1000.0
318.0,chain2,Ingress3,9,9,SF-A,485,13,SF-B,776,6,SF-D,970,3,Egress2,1000.0
319.0,chain2,Ingress3,9,9,SF-A,468,13,SF-B,749,6,SF-D,936,3,Egress2,1000.0
320.0,chain2,Ingress3,11,11,SF-A,568,16,SF-B,908,8,SF-D,1136,4,Egress2,1000.0
321.0,chain2,Ingress3,10,10,SF-A,526,15,SF-B,842,7,SF-D,1053,3,Egress2,1000.0
322.0,chain2,Ingress3,8,8,SF-A,444,12,SF-B,711,6,SF-D,889,3,Egress2,1000.0
323.0,chain2,Ingress3,11,11,SF-A,571,16,SF-B,914,8,SF-D,1143,4,Egress2,1000.0
324.0,chain2,Ingress3,11,11,SF-A,590,16,SF-B,945,8,SF-D,1181,4,Egress2,1000.0
325.0,chain2,Ingress3,10,10,SF-A,530,15,SF-B,848,7,SF-D,1060,3,Egress2,1000.0
326.0,chain2,Ingress3,10,10,SF-A,534,15,SF-B,854,7,SF-D,1068,3,Egress2,1000.0
327.0,chain2,Ingress3,8,8,SF-A,414,12,SF-B,663,6,SF-D,829,3,Egress2,1000.0
328.0,chain2,Ingress3,10,10,SF-A,501,15,SF-B,802,7,SF-D,1003,3,Egress2,1000.0
329.0,chain2,Ingress3,9,9,SF-A,474,13,SF-B,758,6,SF-D,948,3,Egress2,1000.0
330.0,chain2,Ingress3,11,11,SF-A,592,16,SF-B,947,8,SF-D,1184,4,Egress2,1000.0
331.0,chain2,Ingress3,9,9,SF-A,494,13,SF-B,791,6,SF-D,989,3,Egress2,1000.0
332.0,chain2,Ingress3,10,10,SF-A,523,15,SF-B,837,7,SF-D,1047,3,Egress2,1000.0
333.0,chain2,Ingress3,10,10,SF-A,515,15,SF-B,824,7,SF-D,1030,3,Egress2,1000.0
334.0,chain2,Ingress3,9,9,SF-A,469,13,SF-B,751,6,SF-D,938,3,Egress2,1000.0
335.0,chain2,Ingress3,8,8,SF-A,434,12,SF-B,695,6,SF-D,869,3,Egress2,1000.0
336.0,chain2,Ingress3,11,11,SF-A,556,16,SF-B,889,8,SF-D,1112,4,Egress2,1000.0
337.0,chain2,Ingress3,11,11,SF-A,575,16,SF-B,920,8,SF-D,1150,4,Egress2,1000.0
338.0,chain2,Ingress3,9,9,SF-A,499,13,SF-B,799,6,SF-D,999,3,Egress2,1000.0
339.0,chain2,Ingress3,9,9,SF-A,484,13,SF-B,774,6,SF-D,968,3,Egress2,1000.0
340.0,chain2,Ingress3,8,8,SF-A,436,12,SF-B,698,6,SF-D,872,3,Egress2,1000.0
341.0,chain2,Ingress3,10,10,SF-A,502,15,SF-B,804,7,SF-D,1005,3,Egress2,1000.0
342.0,chain2,Ingress3,11,11,SF-A,561,16,SF-B,899,8,SF-D,1123,4,Egress2,1000.0
343.0,chain2,Ingress3,11,11,SF-A,558,16,SF-B,893,8,SF-D,1116,4,Egress2,1000.0
344.0,chain2,Ingress3,9,9,SF-A,488,13,SF-B,782,6,SF-D,977,3,Egress2,1000.0
345.0,chain2,Ingress3,10,10,SF-A,537,15,SF-B,859,7,SF-D,1074,3,Egress2,1000.0
346.0,chain2,Ingress3,8,8,SF-A,432,12,SF-B,692,6,SF-D,865,3,Egress2,1000.0
347.0,chain2,Ingress3,10,10,SF-A,509,15,SF-B,814,7,SF-D,1018,3,Egress2,1000.0
348.0,chain2,Ingress3,8,8,SF-A,429,12,SF-B,687,6,SF-D,859,3,Egress2,1000.0
349.0,chain2,Ingress3,11,11,SF-A,577,16,SF-B,924,8,SF-D,1155,4,Egress2,1000.0
350.0,chain2,Ingress3,11,11,SF-A,580,16,SF-B,928,8,SF-D,1160,4,Egress2,1000.0
351.0,chain2,Ingress3,10,10,SF-A,528,15,SF-B,844,7,SF-D,1056,3,Egress2,1000.0
352.0,chain2,Ingress3,11,11,SF-A,577,16,SF-B,923,8,SF-D,1154,4,Egress2,1000.0
353.0,chain2,Ingress3,10,10,SF-A,521,15,SF-B,834,7,SF-D,1043,3,Egress2,1000.0
354.0,chain2,Ingress3,9,9,SF-A,496,13,SF-B,794,6,SF-D,992,3,Egress2,1000.0
355.0,chain2,Ingress3,8,8,SF-A,433,12,SF-B,693,6,SF-D,867,3,Egress2,1000.0
356.0,chain2,Ingress3,10,10,SF-A,540,15,SF-B,864,7,SF-D,1080,3,Egress2,1000.0
357.0,chain2,Ingress3,9,9,SF-A,458,13,SF-B,734,6,SF-D,917,3,Egress2,1000.0
358.0,chain2,Ingress3,8,8,SF-A,444,12,SF-B,710,6,SF-D,888,3,Egress2,1000.0
359.0,chain2,Ingress3,11,11,SF-A,583,16,SF-B,933,8,SF-D,1166,4,Egress2,1000.0
360.0,chain2,Ingress3,11,11,SF-A,588,16,SF-B,942,8,SF-D,1177,4,Egress2,1000.0
361.0,chain2,Ingress3,10,10,SF-A,509,15,SF-B,815,7,SF-D,1019,3,Egress2,1000.0
362.0,chain2,Ingress3,8,8,SF-A,431,12,SF-B,690,6,SF-D,863,3,Egress2,1000.0
363.0,chain2,Ingress3,9,9,SF-A,476,13,SF-B,761,6,SF-D,952,3,Egress2,1000.0
364.0,chain2,Ingress3,11,11,SF-A,592,16,SF-B,948,8,SF-D,1185,4,Egress2,1000.0
365.0,chain2,Ingress3,10,10,SF-A,506,15,SF-B,810,7,SF-D,1012,3,Egress2,1000.0
366.0,chain2,Ingress3,8,8,SF-A,416,12,SF-B,665,6,SF-D,832,3,Egress2,1000.0
367.0,chain2,Ingress3,11,11,SF-A,581,16,SF-B,930,8,SF-D,1163,4,Egress2,1000.0
368.0,chain2,Ingress3,10,10,SF-A,529,15,SF-B,846,7,SF-D,1058,3,Egress2,1000.0
369.0,chain2,Ingress3,8,8,SF-A,418,12,SF-B,670,6,SF-D,837,3,Egress2,1000.0
370.0,chain2,Ingress3,10,10,SF-A,518,15,SF-B,830,7,SF-D,1037,3,Egress2,1000.0
371.0,chain2,Ingress3,10,10,SF-A,537,15,SF-B,859,7,SF-D,1074,3,Egress2,1000.0
372.0,chain2,Ingress3,10,10,SF-A,532,15,SF-B,852,7,SF-D,1065,3,Egress2,1000.0
373.0,chain2,Ingress3,9,9,SF-A,464,13,SF-B,742,6,SF-D,928,3,Egress2,1000.0
374.0,chain2,Ingress3,10,10,SF-A,502,15,SF-B,803,7,SF-D,1004,3,Egress2,1000.0
375.0,chain2,Ingress3,10,10,SF-A,508,15,SF-B,813,7,SF-D,1016,3,Egress2,1000.0
376.0,chain2,Ingress3,10,10,SF-A,546,15,SF-B,875,7,SF-D,1093,3,Egress2,1000.0
377.0,chain2,Ingress3,8,8,SF-A,402,12,SF-B,643,6,SF-D,804,3,Egress2,1000.0
378.0,chain2,Ingress3,9,9,SF-A,478,13,SF-B,765,6,SF-D,957,3,Egress2,1000.0
379.0,chain2,Ingress3,8,8,SF-A,401,12,SF-B,641,6,SF-D,802,3,Egress2,1000.0
380.0,chain2,Ingress3,11,11,SF-A,554,16,SF-B,886,8,SF-D,1108,4,Egress2,1000.0
381.0,chain2,Ingress3,8,8,SF-A,406,12,SF-B,650,6,SF-D,813,3,Egress2,1000.0
382.0,chain2,Ingress3,9,9,SF-A,483,13,SF-B,773,6,SF-D,966,3,Egress2,1000.0
383.0,chain2,Ingress3,8,8,SF-A,424,12,SF-B,678,6,SF-D,848,3,Egress2,1000.0
384.0,chain2,Ingress3,8,8,SF-A,422,12,SF-B,675,6,SF-D,844,3,Egress2,1000.0
385.0,chain2,Ingress3,9,9,SF-A,451,13,SF-B,723,6,SF-D,903,3,Egress2,1000.0
386.0,chain2,Ingress3,9,9,SF-A,490,13,SF-B,784,6,SF-D,980,3,Egress2,1000.0
387.0,chain2,Ingress3,8,8,SF-A,447,12,SF-B,715,6,SF-D,894,3,Egress2,1000.0
388.0,chain2,Ingress3,8,8,SF-A,426,12,SF-B,682,6,SF-D,853,3,Egress2,1000.0
389.0,chain2,Ingress3,8,8,SF-A,401,12,SF-B,641,6,SF-D,802,3,Egress2,1000.0
390.0,chain2,Ingress3,8,8,SF-A,412,12,SF-B,659,6,SF-D,824,3,Egress2,1000.0
391.0,chain2,Ingress3,8,8,SF-A,440,12,SF-B,705,6,SF-D,881,3,Egress2,1000.0
392.0,chain2,Ingress3,10,10,SF-A,509,15,SF-B,814,7,SF-D,1018,3,Egress2,1000.0
393.0,chain2,Ingress3,8,8,SF-A,431,12,SF-B,690,6,SF-D,862,3,Egress2,1000.0
394.0,chain2,Ingress3,11,11,SF-A,567,16,SF-B,907,8,SF-D,1134,4,Egress2,1000.0
395.0,chain2,Ingress3,9,9,SF-A,455,13,SF-B,729,6,SF-D,911,3,Egress2,1000.0
396.0,chain2,Ingress3,8,8,SF-A,442,12,SF-B,708,6,SF-D,885,3,Egress2,1000.0
397.0,chain2,Ingress3,9,9,SF-A,492,13,SF-B,787,6,SF-D,984,3,Egress2,1000.0
398.0,chain2,Ingress3,8,8,SF-A,409,12,SF-B,654,6,SF-D,818,3,Egress2,1000.0
399.0,chain2,Ingress3,11,11,SF-A,579,16,SF-B,927,8,SF-D,1158,4,Egress2,1000.0
400.0,chain2,Ingress3,11,11,SF-A,560,16,SF-B,896,8,SF-D,1120,4,Egress2,1000.0
401.0,chain2,Ingress3,11,11,SF-A,558,16,SF-B,894,8,SF-D,1117,4,Egress2,1000.0
402.0,chain2,Ingress3,9,9,SF-A,482,13,SF-B,772,6,SF-D,965,3,Egress2,1000.0
403.0,chain2,Ingress3,11,11,SF-A,588,16,SF-B,941,8,SF-D,1177,4,Egress2,1000.0
404.0,chain2,Ingress3,10,10,SF-A,522,15,SF-B,835,7,SF-D,1044,3,Egress2,1000.0
405.0,chain2,Ingress3,9,9,SF-A,476,13,SF-B,762,6,SF-D,953,3,Egress2,1000.0
406.0,chain2,Ingress3,8,8,SF-A,400,12,SF-B,640,6,SF-D,800,3,Egress2,1000.0
407.0,chain2,Ingress3,11,11,SF-A,550,16,SF-B,881,8,SF-D,1101,4,Egress2,1000.0
408.0,chain2,Ingress3,8,8,SF-A,438,12,SF-B,701,6,SF-D,877,3,Egress2,1000.0
409.0,chain2,Ingress3,10,10,SF-A,501,15,SF-B,802,7,SF-D,1002,3,Egress2,1000.0
410.0,chain2,Ingress3,11,11,SF-A,595,16,SF-B,952,8,SF-D,1190,4,Egress2,1000.0
411.0,chain2,Ingress3,10,10,SF-A,502,15,SF-B,804,7,SF-D,1005,3,Egress2,1000.0
412.0,chain2,Ingress3,9,9,SF-A,464,13,SF-B,743,6,SF-D,929,3,Egress2,1000.0
413.0,chain2,Ingress3,10,10,SF-A,542,15,SF-B,868,7,SF-D,1085,3,Egress2,1000.0
414.0,chain2,Ingress3,11,11,SF-A,570,16,SF-B,913,8,SF-D,1141,4,Egress2,1000.0
415.0,chain2,Ingress3,9,9,SF-A,487,13,SF-B,779,6,SF-D,974,3,Egress2,1000.0
416.0,chain2,Ingress3,9,9,SF-A,477,13,SF-B,764,6,SF-D,955,3,Egress2,1000.0
417.0,chain2,Ingress3,11,11,SF-A,568,16,SF-B,910,8,SF-D,1137,4,Egress2,1000.0
418.0,chain2,Ingress3,10,10,SF-A,546,15,SF-B,873,7,SF-D,1092,3,Egress2,1000.0
419.0,chain2,Ingress3,10,10,SF-A,513,15,SF-B,822,7,SF-D,1027,3,Egress2,1000.0
420.0,chain2,Ingress3,9,9,SF-A,461,13,SF-B,738,6,SF-D,923,3,Egress2,1000.0
421.0,chain2,Ingress3,10,10,SF-A,505,15,SF-B,808,7,SF-D,1011,3,Egress2,1000.0
422.0,chain2,Ingress3,11,11,SF-A,557,16,SF-B,892,8,SF-D,1115,4,Egress2,1000.0
423.0,chain2,Ingress3,10,10,SF-A,515,15,SF-B,824,7,SF-D,1030,3,Egress2,1000.0
424.0,chain2,Ingress3,9,9,SF-A,460,13,SF-B,737,6,SF-D,921,3,Egress2,1000.0
425.0,chain2,Ingress3,10,10,SF-A,536,15,SF-B,858,7,SF-D,1073,3,Egress2,1000.0
426.0,chain2,Ingress3,10,10,SF-A,514,15,SF-B,823,7,SF-D,1029,3,Egress2,1000.0
427.0,chain2,Ingress3,9,9,SF-A,465,13,SF-B,744,6,SF-D,931,3,Egress2,1000.0
428.0,chain2,Ingress3,8,8,SF-A,430,12,SF-B,688,6,SF-D,860,3,Egress2,1000.0
429.0,chain2,Ingress3,10,10,SF-A,509,15,SF-B,814,7,SF-D,1018,3,Egress2,1000.0
430.0,chain2,Ingress3,10,10,SF-A,530,15,SF-B,848,7,SF-D,1060,3,Egress2,1000.0
431.0,chain2,Ingress3,9,9,SF-A,460,13,SF-B,737,6,SF-D,921,3,Egress2,1000.0
432.0,chain2,Ingress3,11,11,SF-A,582,16,SF-B,931,8,SF-D,1164,4,Egress2,1000.0
433.0,chain2,Ingress3,11,11,SF-A,554,16,SF-B,886,8,SF-D,1108,4,Egress2,1000.0
434.0,chain2,Ingress3,10,10,SF-A,514,15,SF-B,822,7,SF-D,1028,3,Egress2,1000.0
435.0,chain2,Ingress3,9,9,SF-A,469,13,SF-B,751,6,SF-D,939,3,Egress2,1000.0
436.0,chain2,Ingress3,8,8,SF-A,402,12,SF-B,644,6,SF-D,805,3,Egress2,1000.0
437.0,chain2,Ingress3,10,10,SF-A,534,15,SF-B,854,7,SF-D,1068,3,Egress2,1000.0
438.0,chain2,Ingress3,11,11,SF-A,585,16,SF-B,937,8,SF-D,1171,4,Egress2,1000.0
439.0,chain2,Ingress3,10,10,SF-A,503,15,SF-B,805,7,SF-D,1007,3,Egress2,1000.0
440.0,chain2,Ingress3,8,8,SF-A,419,12,SF-B,671,6,SF-D,839,3,Egress2,1000.0
441.0,chain2,Ingress3,10,10,SF-A,545,15,SF-B,873,7,SF-D,1091,3,Egress2,1000.0
442.0,chain2,Ingress3,9,9,SF-A,493,13,SF-B,790,6,SF-D,987,3,Egress2,1000.0
443.0,chain2,Ingress3,10,10,SF-A,516,15,SF-B,825,7,SF-D,1032,3,Egress2,1000.0
444.0,chain2,Ingress3,11,11,SF-A,575,16,SF-B,921,8,SF-D,1151,4,Egress2,1000.0
445.0,chain2,Ingress3,9,9,SF-A,495,13,SF-B,793,6,SF-D,991,3,Egress2,1000.0
446.0,chain2,Ingress3,8,8,SF-A,425,12,SF-B,680,6,SF-D,851,3,Egress2,1000.0
447.0,chain2,Ingress3,11,11,SF-A,572,16,SF-B,915,8,SF-D,1144,4,Egress2,1000.0
448.0,chain2,Ingress3,8,8,SF-A,432,12,SF-B,692,6,SF-D,865,3,Egress2,1000.0
449.0,chain2,Ingress3,8,8,SF-A,402,12,SF-B,643,6,SF-D,804,3,Egress2,1000.0
450.0,chain2,Ingress3,11,11,SF-A,558,16,SF-B,893,8,SF-D,1116,4,Egress2,1000.0
451.0,chain2,Ingress3,9,9,SF-A,480,13,SF-B,768,6,SF-D,961,3,Egress2,1000.0
452.0,chain2,Ingress3,8,8,SF-A,406,12,SF-B,650,6,SF-D,813,3,Egress2,1000.0
453.0,chain2,Ingress3,10,10,SF-A,512,15,SF-B,820,7,SF-D,1025,3,Egress2,1000.0
454.0,chain2,Ingress3,11,11,SF-A,569,16,SF-B,911,8,SF-D,1139,4,Egress2,1000.0
455.0,chain2,Ingress3,9,9,SF-A,457,13,SF-B,731,6,SF-D,914,3,Egress2,1000.0
456.0,chain2,Ingress3,8,8,SF-A,414,12,SF-B,662,6,SF-D,828,3,Egress2,1000.0
457.0,chain2,Ingress3,9,9,SF-A,490,13,SF-B,785,6,SF-D,981,3,Egress2,1000.0
458.0,chain2,Ingress3,8,8,SF-A,412,12,SF-B,660,6,SF-D,825,3,Egress2,1000.0
459.0,chain2,Ingress3,11,11,SF-A,573,16,SF-B,917,8,SF-D,1147,4,Egress2,1000.0
460.0,chain2,Ingress3,10,10,SF-A,510,15,SF-B,816,7,SF-D,1021,3,Egress2,1000.0
461.0,chain2,Ingress3,10,10,SF-A,547,15,SF-B,876,7,SF-D,1095,3,Egress2,1000.0
462.0,chain2,Ingress3,9,9,SF-A,487,13,SF-B,780,6,SF-D,975,3,Egress2,1000.0
463.0,chain2,Ingress3,8,8,SF-A,436,12,SF-B,698,6,SF-D,873,3,Egress2,1000.0
464.0,chain2,Ingress3,11,11,SF-A,570,16,SF-B,912,8,SF-D,1140,4,Egress2,1000.0
465.0,chain2,Ingress3,11,11,SF-A,577,16,SF-B,923,8,SF-D,1154,4,Egress2,1000.0
466.0,chain2,Ingress3,8,8,SF-A,417,12,SF-B,667,6,SF-D,834,3,Egress2,1000.0
467.0,chain2,Ingress3,9,9,SF-A,474,13,SF-B,759,6,SF-D,949,3,Egress2,1000.0
468.0,chain2,Ingress3,8,8,SF-A,412,12,SF-B,659,6,SF-D,824,3,Egress2,1000.0
469.0,chain2,Ingress3,11,11,SF-A,560,16,SF-B,896,8,SF-D,1120,4,Egress2,1000.0
470.0,chain2,Ingress3,11,11,SF-A,574,16,SF-B,918,8,SF-D,1148,4,Egress2,1000.0
471.0,chain2,Ingress3,8,8,SF-A,417,12,SF-B,667,6,SF-D,834,3,Egress2,1000.0
472.0,chain2,Ingress3,9,9,SF-A,493,13,SF-B,788,6,SF-D,986,3,Egress2,1000.0
473.0,chain2,Ingress3,9,9,SF-A,450,13,SF-B,720,6,SF-D,900,3,Egress2,1000.0
474.0,chain2,Ingress3,9,9,SF-A,457,13,SF-B,732,6,SF-D,915,3,Egress2,1000.0
475.0,chain2,Ingress3,9,9,SF-A,466,13,SF-B,746,6,SF-D,932,3,Egress2,1000.0
476.0,chain2,Ingress3,10,10,SF-A,542,15,SF-B,868,7,SF-D,1085,3,Egress2,1000.0
477.0,chain2,Ingress3,8,8,SF-A,446,12,SF-B,714,6,SF-D,893,3,Egress2,1000.0
478.0,chain2,Ingress3,8,8,SF-A,404,12,SF-B,647,6,SF-D,809,3,Egress2,1000.0
479.0,chain2,Ingress3,10,10,SF-A,543,15,SF-B,870,7,SF-D,1087,3,Egress2,1000.0
480.0,chain2,Ingress3,8,8,SF-A,430,12,SF-B,688,6,SF-D,860,3,Egress2,1000.0
481.0,chain2,Ingress3,8,8,SF-A,435,12,SF-B,697,6,SF-D,871,3,Egress2,1000.0
482.0,chain2,Ingress3,9,9,SF-A,486,13,SF-B,778,6,SF-D,972,3,Egress2,1000.0
483.0,chain2,Ingress3,10,10,SF-A,543,15,SF-B,870,7,SF-D,1087,3,Egress2,1000.0
484.0,chain2,Ingress3,9,9,SF-A,482,13,SF-B,771,6,SF-D,964,3,Egress2,1000.0
485.0,chain2,Ingress3,9,9,SF-A,485,13,SF-B,776,6,SF-D,970,3,Egress2,1000.0
486.0,chain2,Ingress3,11,11,SF-A,584,16,SF-B,935,8,SF-D,1169,4,Egress2,1000.0
487.0,chain2,Ingress3,11,11,SF-A,554,16,SF-B,887,8,SF-D,1109,4,Egress2,1000.0
488.0,chain2,Ingress3,11,11,SF-A,557,16,SF-B,891,8,SF-D,1114,4,Egress2,1000.0
489.0,chain2,Ingress3,9,9,SF-A,478,13,SF-B,765,6,SF-D,956,3,Egress2,1000.0
490.0,chain2,Ingress3,9,9,SF-A,457,13,SF-B,732,6,SF-D,915,3,Egress2,1000.0
491.0,chain2,Ingress3,8,8,SF-A,402,12,SF-B,644,6,SF-D,805,3,Egress2,1000.0
492.0,chain2,Ingress3,9,9,SF-A,467,13,SF-B,747,6,SF-D,934,3,Egress2,1000.0
493.0,chain2,Ingress3,8,8,SF-A,402,12,SF-B,644,6,SF-D,805,3,Egress2,1000.0
494.0,chain2,Ingress3,8,8,SF-A,407,12,SF-B,652,6,SF-D,815,3,Egress2,1000.0
495.0,chain2,Ingress3,9,9,SF-A,493,13,SF-B,789,6,SF-D,986,3,Egress2,1000.0
496.0,chain2,Ingress3,10,10,SF-A,541,15,SF-B,865,7,SF-D,1082,3,Egress2,1000.0
497.0,chain2,Ingress3,8,8,SF-A,424,12,SF-B,679,6,SF-D,849,3,Egress2,1000.0
