time(s),target_sfc,Ingress,InitialRequestSize,Transmission1(MB),VM1,cloudlet.1(MI),Transmission2(MB),VM2,cloudlet.2(MI),Transmission3(MB),VM3,cloudlet.3(MI),Transmission4(MB),VM4,cloudlet.4(MI),Transmission5(MB),Egress,latency_demand(s)
204.0,chain1,Ingress1,12,12,SF-A,602,18,SF-B,963,9,SF-C,1806,6,SF-D,1204,3,Egress1,1000.0
205.0,chain1,Ingress1,15,15,SF-A,754,22,SF-B,1207,11,SF-C,2264,7,SF-D,1509,3,Egress1,1000.0
206.0,chain1,Ingress1,15,15,SF-A,781,22,SF-B,1250,11,SF-C,2344,7,SF-D,1563,3,Egress1,1000.0
207.0,chain1,Ingress1,13,13,SF-A,687,19,SF-B,1100,9,SF-C,2063,6,SF-D,1375,3,Egress1,1000.0
208.0,chain1,Ingress1,15,15,SF-A,793,22,SF-B,1270,11,SF-C,2381,7,SF-D,1587,3,Egress1,1000.0
209.0,chain1,Ingress1,13,13,SF-A,663,19,SF-B,1062,9,SF-C,1991,6,SF-D,1327,3,Egress1,1000.0
210.0,chain1,Ingress1,12,12,SF-A,603,18,SF-B,965,9,SF-C,1810,6,SF-D,1207,3,Egress1,1000.0
211.0,chain1,Ingress1,13,13,SF-A,683,19,SF-B,1093,9,SF-C,2050,6,SF-D,1367,3,Egress1,1000.0
212.0,chain1,Ingress1,14,14,SF-A,749,21,SF-B,1198,10,SF-C,2247,6,SF-D,1498,3,Egress1,1000.0
213.0,chain1,Ingress1,16,16,SF-A,800,24,SF-B,1280,12,SF-C,2401,8,SF-D,1600,4,Egress1,1000.0
214.0,chain1,Ingress1,13,13,SF-A,675,19,SF-B,1080,9,SF-C,2025,6,SF-D,1350,3,Egress1,1000.0
215.0,chain1,Ingress1,15,15,SF-A,784,22,SF-B,1255,11,SF-C,2354,7,SF-D,1569,3,Egress1,1000.0
216.0,chain1,Ingress1,13,13,SF-A,681,19,SF-B,1090,9,SF-C,2044,6,SF-D,1363,3,Egress1,1000.0
217.0,chain1,Ingress1,13,13,SF-A,653,19,SF-B,1045,9,SF-C,1960,6,SF-D,1307,3,Egress1,1000.0
218.0,chain1,Ingress1,16,16,SF-A,848,24,SF-B,1357,12,SF-C,2546,8,SF-D,1697,4,Egress1,1000.0
219.0,chain1,Ingress1,12,12,SF-A,612,18,SF-B,980,9,SF-C,1837,6,SF-D,1225,3,Egress1,1000.0
220.0,chain1,Ingress1,16,16,SF-A,843,24,SF-B,1349,12,SF-C,2530,8,SF-D,1687,4,Egress1,1000.0
221.0,chain1,Ingress1,15,15,SF-A,791,22,SF-B,1266,11,SF-C,2374,7,SF-D,1582,3,Egress1,1000.0
222.0,chain1,Ingress1,17,17,SF-A,855,25,SF-B,1368,12,SF-C,2565,8,SF-D,1710,4,Egress1,1000.0
223.0,chain1,Ingress1,15,15,SF-A,755,22,SF-B,1208,11,SF-C,2265,7,SF-D,1510,3,Egress1,1000.0
224.0,chain1,Ingress1,17,17,SF-A,856,25,SF-B,1370,12,SF-C,2570,8,SF-D,1713,4,Egress1,1000.0
225.0,chain1,Ingress1,12,12,SF-A,608,18,SF-B,974,9,SF-C,1826,6,SF-D,1217,3,Egress1,1000.0
226.0,chain1,Ingress1,15,15,SF-A,758,22,SF-B,1213,11,SF-C,2274,7,SF-D,1516,3,Egress1,1000.0
227.0,chain1,Ingress1,14,14,SF-A,705,21,SF-B,1128,10,SF-C,2116,6,SF-D,1410,3,Egress1,1000.0
228.0,chain1,Ingress1,15,15,SF-A,777,22,SF-B,1243,11,SF-C,2331,7,SF-D,1554,3,Egress1,1000.0
229.0,chain1,Ingress1,16,16,SF-A,830,24,SF-B,1328,12,SF-C,2490,8,SF-D,1660,4,Egress1,1000.0
230.0,chain1,Ingress1,17,17,SF-A,880,25,SF-B,1409,12,SF-C,2642,8,SF-D,1761,4,Egress1,1000.0
231.0,chain1,Ingress1,12,12,SF-A,620,18,SF-B,992,9,SF-C,1860,6,SF-D,1240,3,Egress1,1000.0
232.0,chain1,Ingress1,14,14,SF-A,716,21,SF-B,1147,10,SF-C,2150,6,SF-D,1433,3,Egress1,1000.0
233.0,chain1,Ingress1,17,17,SF-A,885,25,SF-B,1416,12,SF-C,2656,8,SF-D,1771,4,Egress1,1000.0
234.0,chain1,Ingress1,14,14,SF-A,721,21,SF-B,1155,10,SF-C,2165,6,SF-D,1443,3,Egress1,1000.0
235.0,chain1,Ingress1,17,17,SF-A,867,25,SF-B,1388,12,SF-C,2603,8,SF-D,1735,4,Egress1,1000.0
236.0,chain1,Ingress1,17,17,SF-A,869,25,SF-B,1390,12,SF-C,2607,8,SF-D,1738,4,Egress1,1000.0
237.0,chain1,Ingress1,16,16,SF-A,838,24,SF-B,1341,12,SF-C,2515,8,SF-D,1676,4,Egress1,1000.0
238.0,chain1,Ingress1,13,13,SF-A,690,19,SF-B,1104,9,SF-C,2070,6,SF-D,1380,3,Egress1,1000.0
239.0,chain1,Ingress1,16,16,SF-A,847,24,SF-B,1355,12,SF-C,2542,8,SF-D,1694,4,Egress1,1000.0
240.0,chain1,Ingress1,14,14,SF-A,711,21,SF-B,1137,10,SF-C,2133,6,SF-D,1422,3,Egress1,1000.0
241.0,chain1,Ingress1,16,16,SF-A,841,24,SF-B,1346,12,SF-C,2524,8,SF-D,1682,4,Egress1,1000.0
242.0,chain1,Ingress1,12,12,SF-A,645,18,SF-B,1032,9,SF-C,1936,6,SF-D,1290,3,Egress1,1000.0
243.0,chain1,Ingress1,13,13,SF-A,664,19,SF-B,1063,9,SF-C,1994,6,SF-D,1329,3,Egress1,1000.0
244.0,chain1,Ingress1,17,17,SF-A,864,25,SF-B,1383,12,SF-C,2594,8,SF-D,1729,4,Egress1,1000.0
245.0,chain1,Ingress1,12,12,SF-A,611,18,SF-B,977,9,SF-C,1833,6,SF-D,1222,3,Egress1,1000.0
246.0,chain1,Ingress1,12,12,SF-A,640,18,SF-B,1025,9,SF-C,1922,6,SF-D,1281,3,Egress1,1000.0
247.0,chain1,Ingress1,13,13,SF-A,663,19,SF-B,1061,9,SF-C,1990,6,SF-D,1326,3,Egress1,1000.0
248.0,chain1,Ingress1,13,13,SF-A,673,19,SF-B,1078,9,SF-C,2021,6,SF-D,1347,3,Egress1,1000.0
249.0,chain1,Ingress1,15,15,SF-A,751,22,SF-B,1202,11,SF-C,2254,7,SF-D,1502,3,Egress1,1000.0
250.0,chain1,Ingress1,15,15,SF-A,750,22,SF-B,1200,11,SF-C,2250,7,SF-D,1500,3,Egress1,1000.0
251.0,chain1,Ingress1,15,15,SF-A,789,22,SF-B,1263,11,SF-C,2368,7,SF-D,1579,3,Egress1,1000.0
252.0,chain1,Ingress1,17,17,SF-A,850,25,SF-B,1360,12,SF-C,2551,8,SF-D,1701,4,Egress1,1000.0
253.0,chain1,Ingress1,12,12,SF-A,643,18,SF-B,1029,9,SF-C,1929,6,SF-D,1286,3,Egress1,1000.0
254.0,chain1,Ingress1,15,15,SF-A,762,22,SF-B,1219,11,SF-C,2286,7,SF-D,1524,3,Egress1,1000.0
255.0,chain1,Ingress1,14,14,SF-A,708,21,SF-B,1133,10,SF-C,2125,6,SF-D,1416,3,Egress1,1000.0
256.0,chain1,Ingress1,12,12,SF-A,622,18,SF-B,995,9,SF-C,1866,6,SF-D,1244,3,Egress1,1000.0
257.0,chain1,Ingress1,15,15,SF-A,790,22,SF-B,1264,11,SF-C,2370,7,SF-D,1580,3,Egress1,1000.0
258.0,chain1,Ingress1,16,16,SF-A,804,24,SF-B,1287,12,SF-C,2413,8,SF-D,1609,4,Egress1,1000.0
259.0,chain1,Ingress1,16,16,SF-A,813,24,SF-B,1301,12,SF-C,2440,8,SF-D,1627,4,Egress1,1000.0
260.0,chain1,Ingress1,15,15,SF-A,775,22,SF-B,1241,11,SF-C,2327,7,SF-D,1551,3,Egress1,1000.0
261.0,chain1,Ingress1,16,16,SF-A,816,24,SF-B,1307,12,SF-C,2450,8,SF-D,1633,4,Egress1,1000.0
262.0,chain1,Ingress1,13,13,SF-A,650,19,SF-B,1040,9,SF-C,1951,6,SF-D,1301,3,Egress1,1000.0
263.0,chain1,Ingress1,15,15,SF-A,799,22,SF-B,1279,11,SF-C,2399,7,SF-D,1599,3,Egress1,1000.0
264.0,chain1,Ingress1,14,14,SF-A,700,21,SF-B,1120,10,SF-C,2100,6,SF-D,1400,3,Egress1,1000.0
265.0,chain1,Ingress1,12,12,SF-A,602,18,SF-B,963,9,SF-C,1806,6,SF-D,1204,3,Egress1,1000.0
266.0,chain1,Ingress1,12,12,SF-A,608,18,SF-B,973,9,SF-C,1824,6,SF-D,1216,3,Egress1,1000.0
267.0,chain1,Ingress1,13,13,SF-A,673,19,SF-B,1077,9,SF-C,2021,6,SF-D,1347,3,Egress1,1000.0
268.0,chain1,Ingress1,16,16,SF-A,843,24,SF-B,1348,12,SF-C,2529,8,SF-D,1686,4,Egress1,1000.0
269.0,chain1,Ingress1,13,13,SF-A,693,19,SF-B,1109,9,SF-C,2080,6,SF-D,1387,3,Egress1,1000.0
270.0,chain1,Ingress1,13,13,SF-A,665,19,SF-B,1065,9,SF-C,1997,6,SF-D,1331,3,Egress1,1000.0
271.0,chain1,Ingress1,15,15,SF-A,799,22,SF-B,1278,11,SF-C,2397,7,SF-D,1598,3,Egress1,1000.0
272.0,chain1,Ingress1,17,17,SF-A,884,25,SF-B,1415,12,SF-C,2653,8,SF-D,1768,4,Egress1,1000.0
273.0,chain1,Ingress1,14,14,SF-A,716,21,SF-B,1146,10,SF-C,2149,6,SF-D,1432,3,Egress1,1000.0
274.0,chain1,Ingress1,17,17,SF-A,861,25,SF-B,1377,12,SF-C,2583,8,SF-D,1722,4,Egress1,1000.0
275.0,chain1,Ingress1,15,15,SF-A,799,22,SF-B,1279,11,SF-C,2398,7,SF-D,1599,3,Egress1,1000.0
276.0,chain1,Ingress1,13,13,SF-A,650,19,SF-B,1041,9,SF-C,1952,6,SF-D,1301,3,Egress1,1000.0
277.0,chain1,Ingress1,12,12,SF-A,632,18,SF-B,1011,9,SF-C,1897,6,SF-D,1264,3,Egress1,1000.0
278.0,chain1,Ingress1,14,14,SF-A,743,21,SF-B,1189,10,SF-C,2229,6,SF-D,1486,3,Egress1,1000.0
279.0,chain1,Ingress1,17,17,SF-A,874,25,SF-B,1398,12,SF-C,2622,8,SF-D,1748,4,Egress1,1000.0
280.0,chain1,Ingress1,17,17,SF-A,869,25,SF-B,1390,12,SF-C,2607,8,SF-D,1738,4,Egress1,1000.0
281.0,chain1,Ingress1,17,17,SF-A,886,25,SF-B,1418,12,SF-C,2660,8,SF-D,1773,4,Egress1,1000.0
282.0,chain1,Ingress1,16,16,SF-A,846,24,SF-B,1355,12,SF-C,2540,8,SF-D,1693,4,Egress1,1000.0
283.0,chain1,Ingress1,17,17,SF-A,895,25,SF-B,1433,12,SF-C,2687,8,SF-D,1791,4,Egress1,1000.0
284.0,chain1,Ingress1,12,12,SF-A,614,18,SF-B,983,9,SF-C,1844,6,SF-D,1229,3,Egress1,1000.0
285.0,chain1,Ingress1,15,15,SF-A,777,22,SF-B,1243,11,SF-C,2331,7,SF-D,1554,3,Egress1,1000.0
286.0,chain1,Ingress1,16,16,SF-A,816,24,SF-B,1307,12,SF-C,2450,8,SF-D,1633,4,Egress1,1000.0
287.0,chain1,Ingress1,14,14,SF-A,747,21,SF-B,1195,10,SF-C,2242,6,SF-D,1494,3,Egress1,1000.0
288.0,chain1,Ingress1,15,15,SF-A,767,22,SF-B,1228,11,SF-C,2302,7,SF-D,1535,3,Egress1,1000.0
289.0,chain1,Ingress1,12,12,SF-A,610,18,SF-B,976,9,SF-C,1830,6,SF-D,1220,3,Egress1,1000.0
290.0,chain1,Ingress1,13,13,SF-A,688,19,SF-B,1101,9,SF-C,2065,6,SF-D,1376,3,Egress1,1000.0
291.0,chain1,Ingress1,12,12,SF-A,637,18,SF-B,1019,9,SF-C,1911,6,SF-D,1274,3,Egress1,1000.0
292.0,chain1,Ingress1,15,15,SF-A,776,22,SF-B,1242,11,SF-C,2330,7,SF-D,1553,3,Egress1,1000.0
293.0,chain1,Ingress1,13,13,SF-A,690,19,SF-B,1104,9,SF-C,2070,6,SF-D,1380,3,Egress1,1000.0
294.0,chain1,Ingress1,14,14,SF-A,723,21,SF-B,1156,10,SF-C,2169,6,SF-D,1446,3,Egress1,1000.0
295.0,chain1,Ingress1,13,13,SF-A,659,19,SF-B,1054,9,SF-C,1977,6,SF-D,1318,3,Egress1,1000.0
296.0,chain1,Ingress1,13,13,SF-A,650,19,SF-B,1041,9,SF-C,1952,6,SF-D,1301,3,Egress1,1000.0
297.0,chain1,Ingress1,13,13,SF-A,667,19,SF-B,1067,9,SF-C,2002,6,SF-D,1334,3,Egress1,1000.0
298.0,chain1,Ingress1,14,14,SF-A,734,21,SF-B,1175,10,SF-C,2203,6,SF-D,1469,3,Egress1,1000.0
299.0,chain1,Ingress1,15,15,SF-A,785,22,SF-B,1256,11,SF-C,2355,7,SF-D,1570,3,Egress1,1000.0
300.0,chain1,Ingress1,17,17,SF-A,868,25,SF-B,1390,12,SF-C,2606,8,SF-D,1737,4,Egress1,1000.0
301.0,chain1,Ingress1,12,12,SF-A,642,18,SF-B,1027,9,SF-C,1926,6,SF-D,1284,3,Egress1,1000.0
302.0,chain1,Ingress1,13,13,SF-A,690,19,SF-B,1104,9,SF-C,2071,6,SF-D,1380,3,Egress1,1000.0
303.0,chain1,Ingress1,14,14,SF-A,713,21,SF-B,1142,10,SF-C,2141,6,SF-D,1427,3,Egress1,1000.0
304.0,chain1,Ingress1,17,17,SF-A,878,25,SF-B,1405,12,SF-C,2635,8,SF-D,1756,4,Egress1,1000.0
305.0,chain1,Ingress1,15,15,SF-A,768,22,SF-B,1229,11,SF-C,2304,7,SF-D,1536,3,Egress1,1000.0
306.0,chain1,Ingress1,12,12,SF-A,637,18,SF-B,1019,9,SF-C,1911,6,SF-D,1274,3,Egress1,1000.0
307.0,chain1,Ingress1,15,15,SF-A,754,22,SF-B,1207,11,SF-C,2264,7,SF-D,1509,3,Egress1,1000.0
308.0,chain1,Ingress1,13,13,SF-A,653,19,SF-B,1045,9,SF-C,1960,6,SF-D,1306,3,Egress1,1000.0
309.0,chain1,Ingress1,14,14,SF-A,703,21,SF-B,1124,10,SF-C,2109,6,SF-D,1406,3,Egress1,1000.0
310.0,chain1,Ingress1,14,14,SF-A,714,21,SF-B,1142,10,SF-C,2142,6,SF-D,1428,3,Egress1,1000.0
311.0,chain1,Ingress1,12,12,SF-A,610,18,SF-B,977,9,SF-C,1832,6,SF-D,1221,3,Egress1,1000.0
312.0,chain1,Ingress1,13,13,SF-A,688,19,SF-B,1100,9,SF-C,2064,6,SF-D,1376,3,Egress1,1000.0
313.0,chain1,Ingress1,12,12,SF-A,606,18,SF-B,970,9,SF-C,1819,6,SF-D,1213,3,Egress1,1000.0
314.0,chain1,Ingress1,16,16,SF-A,840,24,SF-B,1345,12,SF-C,2522,8,SF-D,1681,4,Egress1,1000.0
315.0,chain1,Ingress1,16,16,SF-A,840,24,SF-B,1344,12,SF-C,2521,8,SF-D,1680,4,Egress1,1000.0
316.0,chain1,Ingress1,15,15,SF-A,762,22,SF-B,1219,11,SF-C,2286,7,SF-D,1524,3,Egress1,1000.0
317.0,chain1,Ingress1,15,15,SF-A,766,22,SF-B,1227,11,SF-C,2300,7,SF-D,1533,3,Egress1,1000.0
318.0,chain1,Ingress1,13,13,SF-A,658,19,SF-B,1052,9,SF-C,1974,6,SF-D,1316,3,Egress1,1000.0
319.0,chain1,Ingress1,14,14,SF-A,714,21,SF-B,1143,10,SF-C,2144,6,SF-D,1429,3,Egress1,1000.0
320.0,chain1,Ingress1,15,15,SF-A,763,22,SF-B,1221,11,SF-C,2290,7,SF-D,1527,3,Egress1,1000.0
321.0,chain1,Ingress1,13,13,SF-A,653,19,SF-B,1046,9,SF-C,1961,6,SF-D,1307,3,Egress1,1000.0
322.0,chain1,Ingress1,14,14,SF-A,712,21,SF-B,1140,10,SF-C,2137,6,SF-D,1425,3,Egress1,1000.0
323.0,chain1,Ingress1,16,16,SF-A,802,24,SF-B,1283,12,SF-C,2407,8,SF-D,1604,4,Egress1,1000.0
324.0,chain1,Ingress1,13,13,SF-A,691,19,SF-B,1106,9,SF-C,2074,6,SF-D,1382,3,Egress1,1000.0
325.0,chain1,Ingress1,13,13,SF-A,658,19,SF-B,1052,9,SF-C,1974,6,SF-D,1316,3,Egress1,1000.0
326.0,chain1,Ingress1,12,12,SF-A,634,18,SF-B,1015,9,SF-C,1903,6,SF-D,1268,3,Egress1,1000.0
327.0,chain1,Ingress1,12,12,SF-A,643,18,SF-B,1030,9,SF-C,1931,6,SF-D,1287,3,Egress1,1000.0
328.0,chain1,Ingress1,14,14,SF-A,715,21,SF-B,1145,10,SF-C,2147,6,SF-D,1431,3,Egress1,1000.0
329.0,chain1,Ingress1,16,16,SF-A,841,24,SF-B,1346,12,SF-C,2525,8,SF-D,1683,4,Egress1,1000.0
330.0,chain1,Ingress1,16,16,SF-A,807,24,SF-B,1291,12,SF-C,2421,8,SF-D,1614,4,Egress1,1000.0
331.0,chain1,Ingress1,12,12,SF-A,626,18,SF-B,1003,9,SF-C,1880,6,SF-D,1253,3,Egress1,1000.0
332.0,chain1,Ingress1,14,14,SF-A,712,21,SF-B,1139,10,SF-C,2136,6,SF-D,1424,3,Egress1,1000.0
333.0,chain1,Ingress1,17,17,SF-A,888,25,SF-B,1421,12,SF-C,2665,8,SF-D,1776,4,Egress1,1000.0
334.0,chain1,Ingress1,14,14,SF-A,725,21,SF-B,1160,10,SF-C,2176,6,SF-D,1450,3,Egress1,1000.0
335.0,chain1,Ingress1,15,15,SF-A,784,22,SF-B,1255,11,SF-C,2354,7,SF-D,1569,3,Egress1,1000.0
336.0,chain1,Ingress1,14,14,SF-A,737,21,SF-B,1179,10,SF-C,2211,6,SF-D,1474,3,Egress1,1000.0
337.0,chain1,Ingress1,13,13,SF-A,658,19,SF-B,1053,9,SF-C,1974,6,SF-D,1316,3,Egress1,1000.0
338.0,chain1,Ingress1,14,14,SF-A,740,21,SF-B,1184,10,SF-C,2221,6,SF-D,1481,3,Egress1,1000.0
339.0,chain1,Ingress1,13,13,SF-A,655,19,SF-B,1049,9,SF-C,1967,6,SF-D,1311,3,Egress1,1000.0
340.0,chain1,Ingress1,16,16,SF-A,838,24,SF-B,1341,12,SF-C,2514,8,SF-D,1676,4,Egress1,1000.0
341.0,chain1,Ingress1,12,12,SF-A,618,18,SF-B,989,9,SF-C,1855,6,SF-D,1237,3,Egress1,1000.0
342.0,chain1,Ingress1,14,14,SF-A,702,21,SF-B,1123,10,SF-C,2106,6,SF-D,1404,3,Egress1,1000.0
343.0,chain1,Ingress1,12,12,SF-A,614,18,SF-B,983,9,SF-C,1844,6,SF-D,1229,3,Egress1,1000.0
344.0,chain1,Ingress1,16,16,SF-A,818,24,SF-B,1309,12,SF-C,2454,8,SF-D,1636,4,Egress1,1000.0
345.0,chain1,Ingress1,17,17,SF-A,899,25,SF-B,1438,12,SF-C,2697,8,SF-D,1798,4,Egress1,1000.0
346.0,chain1,Ingress1,17,17,SF-A,852,25,SF-B,1363,12,SF-C,2556,8,SF-D,1704,4,Egress1,1000.0
347.0,chain1,Ingress1,16,16,SF-A,808,24,SF-B,1293,12,SF-C,2425,8,SF-D,1616,4,Egress1,1000.0
348.0,chain1,Ingress1,17,17,SF-A,860,25,SF-B,1376,12,SF-C,2580,8,SF-D,1720,4,Egress1,1000.0
349.0,chain1,Ingress1,16,16,SF-A,803,24,SF-B,1285,12,SF-C,2409,8,SF-D,1606,4,Egress1,1000.0
350.0,chain1,Ingress1,15,15,SF-A,792,22,SF-B,1267,11,SF-C,2376,7,SF-D,1584,3,Egress1,1000.0
351.0,chain1,Ingress1,14,14,SF-A,729,21,SF-B,1166,10,SF-C,2188,6,SF-D,1458,3,Egress1,1000.0
352.0,chain1,Ingress1,17,17,SF-A,863,25,SF-B,1380,12,SF-C,2589,8,SF-D,1726,4,Egress1,1000.0
353.0,chain1,Ingress1,12,12,SF-A,603,18,SF-B,965,9,SF-C,1809,6,SF-D,1206,3,Egress1,1000.0
354.0,chain1,Ingress1,16,16,SF-A,811,24,SF-B,1297,12,SF-C,2433,8,SF-D,1622,4,Egress1,1000.0
355.0,chain1,Ingress1,12,12,SF-A,631,18,SF-B,1009,9,SF-C,1893,6,SF-D,1262,3,Egress1,1000.0
356.0,chain1,Ingress1,16,16,SF-A,815,24,SF-B,1305,12,SF-C,2447,8,SF-D,1631,4,Egress1,1000.0
357.0,chain1,Ingress1,17,17,SF-A,881,25,SF-B,1411,12,SF-C,2645,8,SF-D,1763,4,Egress1,1000.0
358.0,chain1,Ingress1,16,16,SF-A,805,24,SF-B,1288,12,SF-C,2415,8,SF-D,1610,4,Egress1,1000.0
359.0,chain1,Ingress1,17,17,SF-A,862,25,SF-B,1380,12,SF-C,2588,8,SF-D,1725,4,Egress1,1000.0
360.0,chain1,Ingress1,17,17,SF-A,869,25,SF-B,1391,12,SF-C,2608,8,SF-D,1739,4,Egress1,1000.0
361.0,chain1,Ingress1,15,15,SF-A,771,22,SF-B,1234,11,SF-C,2315,7,SF-D,1543,3,Egress1,1000.0
362.0,chain1,Ingress1,15,15,SF-A,751,22,SF-B,1202,11,SF-C,2255,7,SF-D,1503,3,Egress1,1000.0
363.0,chain1,Ingress1,17,17,SF-A,851,25,SF-B,1362,12,SF-C,2554,8,SF-D,1702,4,Egress1,1000.0
364.0,chain1,Ingress1,14,14,SF-A,738,21,SF-B,1181,10,SF-C,2214,6,SF-D,1476,3,Egress1,1000.0
365.0,chain1,Ingress1,13,13,SF-A,660,19,SF-B,1056,9,SF-C,1981,6,SF-D,1321,3,Egress1,1000.0
366.0,chain1,Ingress1,14,14,SF-A,739,21,SF-B,1183,10,SF-C,2219,6,SF-D,1479,3,Egress1,1000.0
367.0,chain1,Ingress1,15,15,SF-A,769,22,SF-B,1231,11,SF-C,2309,7,SF-D,1539,3,Egress1,1000.0
368.0,chain1,Ingress1,13,13,SF-A,654,19,SF-B,1046,9,SF-C,1962,6,SF-D,1308,3,Egress1,1000.0
369.0,chain1,Ingress1,15,15,SF-A,794,22,SF-B,1271,11,SF-C,2384,7,SF-D,1589,3,Egress1,1000.0
370.0,chain1,Ingress1,14,14,SF-A,740,21,SF-B,1184,10,SF-C,2220,6,SF-D,1480,3,Egress1,1000.0
371.0,chain1,Ingress1,13,13,SF-A,666,19,SF-B,1066,9,SF-C,1999,6,SF-D,1333,3,Egress1,1000.0
372.0,chain1,Ingress1,12,12,SF-A,618,18,SF-B,989,9,SF-C,1855,6,SF-D,1237,3,Egress1,1000.0
373.0,chain1,Ingress1,14,14,SF-A,719,21,SF-B,1151,10,SF-C,2159,6,SF-D,1439,3,Egress1,1000.0
374.0,chain1,Ingress1,17,17,SF-A,887,25,SF-B,1419,12,SF-C,2662,8,SF-D,1774,4,Egress1,1000.0
375.0,chain1,Ingress1,16,16,SF-A,824,24,SF-B,1319,12,SF-C,2473,8,SF-D,1648,4,Egress1,1000.0
376.0,chain1,Ingress1,13,13,SF-A,662,19,SF-B,1059,9,SF-C,1986,6,SF-D,1324,3,Egress1,1000.0
377.0,chain1,Ingress1,15,15,SF-A,789,22,SF-B,1263,11,SF-C,2368,7,SF-D,1579,3,Egress1,1000.0
378.0,chain1,Ingress1,12,12,SF-A,617,18,SF-B,988,9,SF-C,1853,6,SF-D,1235,3,Egress1,1000.0
379.0,chain1,Ingress1,13,13,SF-A,686,19,SF-B,1097,9,SF-C,2058,6,SF-D,1372,3,Egress1,1000.0
380.0,chain1,Ingress1,16,16,SF-A,814,24,SF-B,1303,12,SF-C,2443,8,SF-D,1628,4,Egress1,1000.0
381.0,chain1,Ingress1,13,13,SF-A,654,19,SF-B,1047,9,SF-C,1963,6,SF-D,1309,3,Egress1,1000.0
382.0,chain1,Ingress1,17,17,SF-A,886,25,SF-B,1417,12,SF-C,2658,8,SF-D,1772,4,Egress1,1000.0
383.0,chain1,Ingress1,13,13,SF-A,690,19,SF-B,1105,9,SF-C,2072,6,SF-D,1381,3,Egress1,1000.0
384.0,chain1,Ingress1,17,17,SF-A,887,25,SF-B,1420,12,SF-C,2663,8,SF-D,1775,4,Egress1,1000.0
385.0,chain1,Ingress1,17,17,SF-A,878,25,SF-B,1406,12,SF-C,2636,8,SF-D,1757,4,Egress1,1000.0
386.0,chain1,Ingress1,17,17,SF-A,864,25,SF-B,1383,12,SF-C,2593,8,SF-D,1729,4,Egress1,1000.0
387.0,chain1,Ingress1,14,14,SF-A,700,21,SF-B,1120,10,SF-C,2100,6,SF-D,1400,3,Egress1,1000.0
388.0,chain1,Ingress1,14,14,SF-A,740,21,SF-B,1184,10,SF-C,2221,6,SF-D,1480,3,Egress1,1000.0
389.0,chain1,Ingress1,15,15,SF-A,785,22,SF-B,1256,11,SF-C,2355,7,SF-D,1570,3,Egress1,1000.0
390.0,chain1,Ingress1,13,13,SF-A,686,19,SF-B,1098,9,SF-C,2059,6,SF-D,1373,3,Egress1,1000.0
391.0,chain1,Ingress1,14,14,SF-A,710,21,SF-B,1137,10,SF-C,2132,6,SF-D,1421,3,Egress1,1000.0
392.0,chain1,Ingress1,13,13,SF-A,695,19,SF-B,1112,9,SF-C,2086,6,SF-D,1390,3,Egress1,1000.0
393.0,chain1,Ingress1,14,14,SF-A,745,21,SF-B,1193,10,SF-C,2237,6,SF-D,1491,3,Egress1,1000.0
394.0,chain1,Ingress1,16,16,SF-A,814,24,SF-B,1303,12,SF-C,2444,8,SF-D,1629,4,Egress1,1000.0
395.0,chain1,Ingress1,12,12,SF-A,633,18,SF-B,1014,9,SF-C,1901,6,SF-D,1267,3,Egress1,1000.0
396.0,chain1,Ingress1,17,17,SF-A,858,25,SF-B,1373,12,SF-C,2574,8,SF-D,1716,4,Egress1,1000.0
397.0,chain1,Ingress1,15,15,SF-A,758,22,SF-B,1213,11,SF-C,2275,7,SF-D,1516,3,Egress1,1000.0
398.0,chain1,Ingress1,16,16,SF-A,807,24,SF-B,1292,12,SF-C,2422,8,SF-D,1615,4,Egress1,1000.0
399.0,chain1,Ingress1,15,15,SF-A,764,22,SF-B,1222,11,SF-C,2292,7,SF-D,1528,3,Egress1,1000.0
400.0,chain1,Ingress1,17,17,SF-A,883,25,SF-B,1412,12,SF-C,2649,8,SF-D,1766,4,Egress1,1000.0
401.0,chain1,Ingress1,17,17,SF-A,876,25,SF-B,1401,12,SF-C,2628,8,SF-D,1752,4,Egress1,1000.0
402.0,chain1,Ingress1,17,17,SF-A,886,25,SF-B,1418,12,SF-C,2659,8,SF-D,1772,4,Egress1,1000.0
403.0,chain1,Ingress1,12,12,SF-A,634,18,SF-B,1015,9,SF-C,1903,6,SF-D,1268,3,Egress1,1000.0
404.0,chain1,Ingress1,16,16,SF-A,830,24,SF-B,1328,12,SF-C,2491,8,SF-D,1660,4,Egress1,1000.0
405.0,chain1,Ingress1,16,16,SF-A,800,24,SF-B,1280,12,SF-C,2401,8,SF-D,1600,4,Egress1,1000.0
406.0,chain1,Ingress1,12,12,SF-A,608,18,SF-B,973,9,SF-C,1825,6,SF-D,1217,3,Egress1,1000.0
407.0,chain1,Ingress1,15,15,SF-A,785,22,SF-B,1256,11,SF-C,2356,7,SF-D,1571,3,Egress1,1000.0
408.0,chain1,Ingress1,15,15,SF-A,757,22,SF-B,1212,11,SF-C,2273,7,SF-D,1515,3,Egress1,1000.0
409.0,chain1,Ingress1,17,17,SF-A,884,25,SF-B,1415,12,SF-C,2654,8,SF-D,1769,4,Egress1,1000.0
410.0,chain1,Ingress1,16,16,SF-A,840,24,SF-B,1344,12,SF-C,2521,8,SF-D,1681,4,Egress1,1000.0
