#======================================
Workload_ID,    App_ID,SubmitTime,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,Tr:StartTime,Tr:EndTime,Tr:NetworkTime,   Tr:Size,Tr:Channel,Pr:StartTime,Pr:EndTime,Pr:CPUTime,   Pr:Size,ResponseTime,
 217, 0, 2180, 2180, 2180.116, 0.116, 110, 0, 2180.116, 2182.915, 2.799, 1100, 2182.915, 2183.09, 0.175, 165, 0, 2183.09, 2185.021, 1.932, 825, 2185.021, 2185.131, 0.11, 110, 0, 2185.131, 2193.086, 7.954, 3300, 2193.086, 2193.196, 0.11, 110, 0, 2193.196, 2193.196, 0, 0,    13.080,
 218, 0, 2190, 2190, 2190.116, 0.116, 110, 0, 2190.116, 2192.705, 2.589, 1100, 2192.705, 2192.87, 0.165, 165, 0, 2192.87, 2194.591, 1.721, 825, 2194.591, 2194.701, 0.11, 110, 0, 2194.701, 2202.438, 7.737, 3300, 2202.438, 2202.548, 0.11, 110, 0, 2202.548, 2202.548, 0, 0,    12.432,
 219, 0, 2200, 2200, 2200.116, 0.116, 110, 0, 2200.116, 2203.086, 2.97, 1100, 2203.086, 2203.252, 0.165, 165, 0, 2203.252, 2205.126, 1.874, 825, 2205.126, 2205.236, 0.11, 110, 0, 2205.236, 2212.58, 7.345, 3300, 2212.58, 2212.691, 0.11, 110, 0, 2212.691, 2212.691, 0, 0,    12.575,
 220, 0, 2210, 2210, 2210.126, 0.126, 120, 0, 2210.126, 2212.924, 2.799, 1200, 2212.924, 2213.105, 0.18, 180, 0, 2213.105, 2215.307, 2.202, 900, 2215.307, 2215.427, 0.12, 120, 0, 2215.427, 2222.079, 6.653, 3600, 2222.079, 2222.2, 0.12, 120, 0, 2222.2, 2222.2, 0, 0,    12.074,
 221, 0, 2220, 2220, 2220.116, 0.116, 110, 0, 2220.116, 2222.959, 2.843, 1100, 2222.959, 2223.124, 0.165, 165, 0, 2223.124, 2224.718, 1.595, 825, 2224.718, 2224.828, 0.11, 110, 0, 2224.828, 2232.367, 7.539, 3300, 2232.367, 2232.477, 0.11, 110, 0, 2232.477, 2232.477, 0, 0,    12.361,
 222, 0, 2230, 2230, 2230.126, 0.126, 120, 0, 2230.126, 2232.521, 2.395, 1200, 2232.521, 2232.701, 0.18, 180, 0, 2232.701, 2234.638, 1.937, 900, 2234.638, 2234.758, 0.12, 120, 0, 2234.758, 2241.82, 7.062, 3600, 2241.82, 2241.94, 0.12, 120, 0, 2241.94, 2241.94, 0, 0,    11.814,
 223, 0, 2240, 2240, 2240.116, 0.116, 110, 0, 2240.116, 2242.7, 2.584, 1100, 2242.7, 2242.865, 0.165, 165, 0, 2242.865, 2244.697, 1.831, 825, 2244.697, 2244.807, 0.11, 110, 0, 2244.807, 2252.557, 7.75, 3300, 2252.557, 2252.667, 0.11, 110, 0, 2252.667, 2252.667, 0, 0,    12.550,
 224, 0, 2250, 2250, 2250.126, 0.126, 120, 0, 2250.126, 2252.311, 2.185, 1200, 2252.311, 2252.491, 0.18, 180, 0, 2252.491, 2254.225, 1.735, 900, 2254.225, 2254.346, 0.12, 120, 0, 2254.346, 2261.2, 6.855, 3600, 2261.2, 2261.32, 0.12, 120, 0, 2261.32, 2261.32, 0, 0,    11.194,
 225, 0, 2260, 2260, 2260.126, 0.126, 120, 0, 2260.126, 2262.612, 2.486, 1200, 2262.612, 2262.792, 0.18, 180, 0, 2262.792, 2264.756, 1.964, 900, 2264.756, 2264.876, 0.12, 120, 0, 2264.876, 2272.316, 7.44, 3600, 2272.316, 2272.436, 0.12, 120, 0, 2272.436, 2272.436, 0, 0,    12.310,
 226, 0, 2270, 2270, 2270.116, 0.116, 110, 0, 2270.116, 2272.54, 2.424, 1100, 2272.54, 2272.705, 0.165, 165, 0, 2272.705, 2274.418, 1.713, 825, 2274.418, 2274.528, 0.11, 110, 0, 2274.528, 2282.523, 7.995, 3300, 2282.523, 2282.633, 0.11, 110, 0, 2282.633, 2282.633, 0, 0,    12.517,
 227, 0, 2280, 2280, 2280.126, 0.126, 120, 0, 2280.126, 2282.607, 2.482, 1200, 2282.607, 2282.788, 0.18, 180, 0, 2282.788, 2284.584, 1.797, 900, 2284.584, 2284.705, 0.12, 120, 0, 2284.705, 2292.382, 7.677, 3600, 2292.382, 2292.502, 0.12, 120, 0, 2292.502, 2292.502, 0, 0,    12.377,
 228, 0, 2290, 2290, 2290.116, 0.116, 110, 0, 2290.116, 2292.461, 2.345, 1100, 2292.461, 2292.626, 0.165, 165, 0, 2292.626, 2294.077, 1.451, 825, 2294.077, 2294.188, 0.11, 110, 0, 2294.188, 2300.179, 5.991, 3300, 2300.179, 2300.289, 0.11, 110, 0, 2300.289, 2300.289, 0, 0,    10.173,
 229, 0, 2300, 2300, 2300.116, 0.116, 110, 0, 2300.116, 2302.569, 2.453, 1100, 2302.569, 2302.734, 0.165, 165, 0, 2302.734, 2304.434, 1.7, 825, 2304.434, 2304.544, 0.11, 110, 0, 2304.544, 2312.075, 7.531, 3300, 2312.075, 2312.185, 0.11, 110, 0, 2312.185, 2312.185, 0, 0,    12.069,
 230, 0, 2310, 2310, 2310.116, 0.116, 110, 0, 2310.116, 2312.41, 2.294, 1100, 2312.41, 2312.575, 0.165, 165, 0, 2312.575, 2314.361, 1.786, 825, 2314.361, 2314.471, 0.11, 110, 0, 2314.471, 2321.55, 7.079, 3300, 2321.55, 2321.66, 0.11, 110, 0, 2321.66, 2321.66, 0, 0,    11.544,
 231, 0, 2320, 2320, 2320.126, 0.126, 120, 0, 2320.126, 2323.081, 2.955, 1200, 2323.081, 2323.261, 0.18, 180, 0, 2323.261, 2325.03, 1.769, 900, 2325.03, 2325.15, 0.12, 120, 0, 2325.15, 2333.727, 8.577, 3600, 2333.727, 2333.847, 0.12, 120, 0, 2333.847, 2333.847, 0, 0,    13.721,
 232, 0, 2330, 2330, 2330.116, 0.116, 110, 0, 2330.116, 2332.149, 2.033, 1100, 2332.149, 2332.314, 0.165, 165, 0, 2332.314, 2334.208, 1.894, 825, 2334.208, 2334.317, 0.11, 110, 0, 2334.317, 2341.578, 7.26, 3300, 2341.578, 2341.688, 0.11, 110, 0, 2341.688, 2341.688, 0, 0,    11.572,
 233, 0, 2340, 2340, 2340.116, 0.116, 110, 0, 2340.116, 2342.651, 2.535, 1100, 2342.651, 2342.816, 0.165, 165, 0, 2342.816, 2344.741, 1.926, 825, 2344.741, 2344.851, 0.11, 110, 0, 2344.851, 2353.196, 8.345, 3300, 2353.196, 2353.306, 0.11, 110, 0, 2353.306, 2353.306, 0, 0,    13.190,
 234, 0, 2350, 2350, 2350.116, 0.116, 110, 0, 2350.116, 2352.345, 2.229, 1100, 2352.345, 2352.511, 0.165, 165, 0, 2352.511, 2354.181, 1.67, 825, 2354.181, 2354.291, 0.11, 110, 0, 2354.291, 2361.058, 6.767, 3300, 2361.058, 2361.168, 0.11, 110, 0, 2361.168, 2361.168, 0, 0,    11.052,
 235, 0, 2360, 2360, 2360.126, 0.126, 120, 0, 2360.126, 2362.773, 2.647, 1200, 2362.773, 2362.953, 0.18, 180, 0, 2362.953, 2364.919, 1.966, 900, 2364.919, 2365.039, 0.12, 120, 0, 2365.039, 2372.32, 7.281, 3600, 2372.32, 2372.44, 0.12, 120, 0, 2372.44, 2372.44, 0, 0,    12.314,
 236, 0, 2370, 2370, 2370.126, 0.126, 120, 0, 2370.126, 2372.806, 2.68, 1200, 2372.806, 2372.985, 0.18, 180, 0, 2372.985, 2375.018, 2.032, 900, 2375.018, 2375.138, 0.12, 120, 0, 2375.138, 2382.427, 7.289, 3600, 2382.427, 2382.546, 0.12, 120, 0, 2382.546, 2382.546, 0, 0,    12.421,
 237, 0, 2380, 2380, 2380.126, 0.126, 120, 0, 2380.126, 2382.508, 2.382, 1200, 2382.508, 2382.688, 0.18, 180, 0, 2382.688, 2384.577, 1.89, 900, 2384.577, 2384.697, 0.12, 120, 0, 2384.697, 2392.487, 7.79, 3600, 2392.487, 2392.608, 0.12, 120, 0, 2392.608, 2392.608, 0, 0,    12.482,
 238, 0, 2390, 2390, 2390.116, 0.116, 110, 0, 2390.116, 2392.133, 2.017, 1100, 2392.133, 2392.298, 0.165, 165, 0, 2392.298, 2393.9, 1.602, 825, 2393.9, 2394.01, 0.11, 110, 0, 2394.01, 2400.823, 6.812, 3300, 2400.823, 2400.933, 0.11, 110, 0, 2400.933, 2400.933, 0, 0,    10.817,
 239, 0, 2400, 2400, 2400.126, 0.126, 120, 0, 2400.126, 2402.605, 2.479, 1200, 2402.605, 2402.785, 0.18, 180, 0, 2402.785, 2404.9, 2.115, 900, 2404.9, 2405.02, 0.12, 120, 0, 2405.02, 2412.675, 7.655, 3600, 2412.675, 2412.796, 0.12, 120, 0, 2412.796, 2412.796, 0, 0,    12.669,
 240, 0, 2410, 2410, 2410.116, 0.116, 110, 0, 2410.116, 2412.139, 2.023, 1100, 2412.139, 2412.305, 0.165, 165, 0, 2412.305, 2414.13, 1.825, 825, 2414.13, 2414.24, 0.11, 110, 0, 2414.24, 2421.055, 6.815, 3300, 2421.055, 2421.165, 0.11, 110, 0, 2421.165, 2421.165, 0, 0,    11.049,
 241, 0, 2420, 2420, 2420.126, 0.126, 120, 0, 2420.126, 2422.623, 2.497, 1200, 2422.623, 2422.803, 0.18, 180, 0, 2422.803, 2424.571, 1.768, 900, 2424.571, 2424.692, 0.12, 120, 0, 2424.692, 2431.404, 6.712, 3600, 2431.404, 2431.524, 0.12, 120, 0, 2431.524, 2431.524, 0, 0,    11.398,
 242, 0, 2430, 2430, 2430.116, 0.116, 110, 0, 2430.116, 2432.525, 2.409, 1100, 2432.525, 2432.69, 0.165, 165, 0, 2432.69, 2434.552, 1.863, 825, 2434.552, 2434.662, 0.11, 110, 0, 2434.662, 2442.258, 7.595, 3300, 2442.258, 2442.367, 0.11, 110, 0, 2442.367, 2442.367, 0, 0,    12.251,
 243, 0, 2440, 2440, 2440.126, 0.126, 120, 0, 2440.126, 2443.134, 3.008, 1200, 2443.134, 2443.314, 0.18, 180, 0, 2443.314, 2445.699, 2.385, 900, 2445.699, 2445.819, 0.12, 120, 0, 2445.819, 2454.941, 9.122, 3600, 2454.941, 2455.061, 0.12, 120, 0, 2455.061, 2455.061, 0, 0,    14.935,
 244, 0, 2450, 2450, 2450.126, 0.126, 120, 0, 2450.126, 2452.832, 2.706, 1200, 2452.832, 2453.012, 0.18, 180, 0, 2453.012, 2454.85, 1.838, 900, 2454.85, 2454.97, 0.12, 120, 0, 2454.97, 2463.103, 8.132, 3600, 2463.103, 2463.223, 0.12, 120, 0, 2463.223, 2463.223, 0, 0,    13.097,
 245, 0, 2460, 2460, 2460.116, 0.116, 110, 0, 2460.116, 2462.5, 2.384, 1100, 2462.5, 2462.665, 0.165, 165, 0, 2462.665, 2464.485, 1.82, 825, 2464.485, 2464.595, 0.11, 110, 0, 2464.595, 2471.524, 6.929, 3300, 2471.524, 2471.634, 0.11, 110, 0, 2471.634, 2471.634, 0, 0,    11.518,
 246, 0, 2470, 2470, 2470.116, 0.116, 110, 0, 2470.116, 2472.587, 2.471, 1100, 2472.587, 2472.753, 0.165, 165, 0, 2472.753, 2474.604, 1.851, 825, 2474.604, 2474.714, 0.11, 110, 0, 2474.714, 2480.78, 6.066, 3300, 2480.78, 2480.89, 0.11, 110, 0, 2480.89, 2480.89, 0, 0,    10.774,
 247, 0, 2480, 2480, 2480.126, 0.126, 120, 0, 2480.126, 2482.781, 2.655, 1200, 2482.781, 2482.961, 0.18, 180, 0, 2482.961, 2485.056, 2.096, 900, 2485.056, 2485.176, 0.12, 120, 0, 2485.176, 2491.878, 6.702, 3600, 2491.878, 2491.998, 0.12, 120, 0, 2491.998, 2491.998, 0, 0,    11.872,
 248, 0, 2490, 2490, 2490.126, 0.126, 120, 0, 2490.126, 2492.39, 2.264, 1200, 2492.39, 2492.571, 0.18, 180, 0, 2492.571, 2494.531, 1.961, 900, 2494.531, 2494.651, 0.12, 120, 0, 2494.651, 2501.412, 6.761, 3600, 2501.412, 2501.533, 0.12, 120, 0, 2501.533, 2501.533, 0, 0,    11.407,
 249, 0, 2500, 2500, 2500.126, 0.126, 120, 0, 2500.126, 2502.689, 2.563, 1200, 2502.689, 2502.869, 0.18, 180, 0, 2502.869, 2504.59, 1.722, 900, 2504.59, 2504.71, 0.12, 120, 0, 2504.71, 2511.72, 7.01, 3600, 2511.72, 2511.84, 0.12, 120, 0, 2511.84, 2511.84, 0, 0,    11.714,
 250, 0, 2510, 2510, 2510.126, 0.126, 120, 0, 2510.126, 2512.862, 2.736, 1200, 2512.862, 2513.042, 0.181, 180, 0, 2513.042, 2514.931, 1.889, 900, 2514.931, 2515.051, 0.12, 120, 0, 2515.051, 2522.495, 7.444, 3600, 2522.495, 2522.615, 0.12, 120, 0, 2522.615, 2522.615, 0, 0,    12.490,
 251, 0, 2520, 2520, 2520.126, 0.126, 120, 0, 2520.126, 2522.707, 2.581, 1200, 2522.707, 2522.887, 0.18, 180, 0, 2522.887, 2524.919, 2.032, 900, 2524.919, 2525.039, 0.12, 120, 0, 2525.039, 2533.029, 7.989, 3600, 2533.029, 2533.149, 0.12, 120, 0, 2533.149, 2533.149, 0, 0,    13.023,
 252, 0, 2530, 2530, 2530.126, 0.126, 120, 0, 2530.126, 2532.688, 2.563, 1200, 2532.688, 2532.869, 0.18, 180, 0, 2532.869, 2534.814, 1.945, 900, 2534.814, 2534.933, 0.12, 120, 0, 2534.933, 2543.96, 9.027, 3600, 2543.96, 2544.08, 0.12, 120, 0, 2544.08, 2544.08, 0, 0,    13.955,
 253, 0, 2540, 2540, 2540.126, 0.126, 120, 0, 2540.126, 2542.546, 2.421, 1200, 2542.546, 2542.727, 0.18, 180, 0, 2542.727, 2544.747, 2.021, 900, 2544.747, 2544.867, 0.12, 120, 0, 2544.867, 2552.309, 7.442, 3600, 2552.309, 2552.428, 0.119, 120, 0, 2552.428, 2552.428, 0, 0,    12.303,
 254, 0, 2550, 2550, 2550.116, 0.116, 110, 0, 2550.116, 2552.396, 2.28, 1100, 2552.396, 2552.561, 0.165, 165, 0, 2552.561, 2554.431, 1.87, 825, 2554.431, 2554.541, 0.11, 110, 0, 2554.541, 2562.145, 7.604, 3300, 2562.145, 2562.255, 0.11, 110, 0, 2562.255, 2562.255, 0, 0,    12.139,
 255, 0, 2560, 2560, 2560.116, 0.116, 110, 0, 2560.116, 2562.456, 2.34, 1100, 2562.456, 2562.621, 0.165, 165, 0, 2562.621, 2564.675, 2.054, 825, 2564.675, 2564.785, 0.11, 110, 0, 2564.785, 2571.106, 6.32, 3300, 2571.106, 2571.216, 0.11, 110, 0, 2571.216, 2571.216, 0, 0,    11.100,
 256, 0, 2570, 2570, 2570.126, 0.126, 120, 0, 2570.126, 2572.748, 2.622, 1200, 2572.748, 2572.929, 0.18, 180, 0, 2572.929, 2574.659, 1.73, 900, 2574.659, 2574.779, 0.12, 120, 0, 2574.779, 2583.653, 8.874, 3600, 2583.653, 2583.773, 0.12, 120, 0, 2583.773, 2583.773, 0, 0,    13.647,
 257, 0, 2580, 2580, 2580.126, 0.126, 120, 0, 2580.126, 2582.345, 2.219, 1200, 2582.345, 2582.525, 0.18, 180, 0, 2582.525, 2584.4, 1.875, 900, 2584.4, 2584.52, 0.12, 120, 0, 2584.52, 2592.709, 8.189, 3600, 2592.709, 2592.829, 0.12, 120, 0, 2592.829, 2592.829, 0, 0,    12.703,
 258, 0, 2590, 2590, 2590.116, 0.116, 110, 0, 2590.116, 2592.709, 2.593, 1100, 2592.709, 2592.874, 0.165, 165, 0, 2592.874, 2594.766, 1.892, 825, 2594.766, 2594.876, 0.11, 110, 0, 2594.876, 2602.453, 7.578, 3300, 2602.453, 2602.563, 0.11, 110, 0, 2602.563, 2602.563, 0, 0,    12.447,
 259, 0, 2600, 2600, 2600.126, 0.126, 120, 0, 2600.126, 2602.473, 2.347, 1200, 2602.473, 2602.654, 0.18, 180, 0, 2602.654, 2604.513, 1.859, 900, 2604.513, 2604.633, 0.12, 120, 0, 2604.633, 2613.172, 8.539, 3600, 2613.172, 2613.292, 0.12, 120, 0, 2613.292, 2613.292, 0, 0,    13.166,
 260, 0, 2610, 2610, 2610.126, 0.126, 120, 0, 2610.126, 2612.616, 2.49, 1200, 2612.616, 2612.796, 0.18, 180, 0, 2612.796, 2614.844, 2.048, 900, 2614.844, 2614.964, 0.12, 120, 0, 2614.964, 2622.4, 7.436, 3600, 2622.4, 2622.521, 0.12, 120, 0, 2622.521, 2622.521, 0, 0,    12.395,
 261, 0, 2620, 2620, 2620.126, 0.126, 120, 0, 2620.126, 2623.063, 2.937, 1200, 2623.063, 2623.243, 0.18, 180, 0, 2623.243, 2624.992, 1.749, 900, 2624.992, 2625.113, 0.12, 120, 0, 2625.113, 2633.498, 8.385, 3600, 2633.498, 2633.618, 0.12, 120, 0, 2633.618, 2633.618, 0, 0,    13.492,
 262, 0, 2630, 2630, 2630.116, 0.116, 110, 0, 2630.116, 2632.479, 2.363, 1100, 2632.479, 2632.644, 0.165, 165, 0, 2632.644, 2634.444, 1.8, 825, 2634.444, 2634.554, 0.11, 110, 0, 2634.554, 2641.303, 6.749, 3300, 2641.303, 2641.413, 0.11, 110, 0, 2641.413, 2641.413, 0, 0,    11.297,
 263, 0, 2640, 2640, 2640.116, 0.116, 110, 0, 2640.116, 2642.695, 2.579, 1100, 2642.695, 2642.86, 0.165, 165, 0, 2642.86, 2644.512, 1.651, 825, 2644.512, 2644.622, 0.11, 110, 0, 2644.622, 2653.196, 8.574, 3300, 2653.196, 2653.306, 0.11, 110, 0, 2653.306, 2653.306, 0, 0,    13.190,
 264, 0, 2650, 2650, 2650.126, 0.126, 120, 0, 2650.126, 2652.741, 2.615, 1200, 2652.741, 2652.921, 0.18, 180, 0, 2652.921, 2654.836, 1.915, 900, 2654.836, 2654.956, 0.12, 120, 0, 2654.956, 2662.865, 7.909, 3600, 2662.865, 2662.985, 0.12, 120, 0, 2662.985, 2662.985, 0, 0,    12.859,
 265, 0, 2660, 2660, 2660.116, 0.116, 110, 0, 2660.116, 2662.502, 2.386, 1100, 2662.502, 2662.667, 0.165, 165, 0, 2662.667, 2664.333, 1.666, 825, 2664.333, 2664.443, 0.11, 110, 0, 2664.443, 2671.733, 7.29, 3300, 2671.733, 2671.843, 0.11, 110, 0, 2671.843, 2671.843, 0, 0,    11.727,
 266, 0, 2670, 2670, 2670.126, 0.126, 120, 0, 2670.126, 2672.651, 2.525, 1200, 2672.651, 2672.831, 0.18, 180, 0, 2672.831, 2675.054, 2.223, 900, 2675.054, 2675.174, 0.12, 120, 0, 2675.174, 2681.824, 6.65, 3600, 2681.824, 2681.944, 0.12, 120, 0, 2681.944, 2681.944, 0, 0,    11.818,
 267, 0, 2680, 2680, 2680.116, 0.116, 110, 0, 2680.116, 2682.526, 2.41, 1100, 2682.526, 2682.691, 0.165, 165, 0, 2682.691, 2684.169, 1.478, 825, 2684.169, 2684.279, 0.11, 110, 0, 2684.279, 2691.442, 7.163, 3300, 2691.442, 2691.553, 0.11, 110, 0, 2691.553, 2691.553, 0, 0,    11.437,
 268, 0, 2690, 2690, 2690.126, 0.126, 120, 0, 2690.126, 2692.56, 2.434, 1200, 2692.56, 2692.74, 0.18, 180, 0, 2692.74, 2694.645, 1.905, 900, 2694.645, 2694.765, 0.12, 120, 0, 2694.765, 2703.046, 8.281, 3600, 2703.046, 2703.166, 0.12, 120, 0, 2703.166, 2703.166, 0, 0,    13.040,
 269, 0, 2700, 2700, 2700.116, 0.116, 110, 0, 2700.116, 2702.432, 2.316, 1100, 2702.432, 2702.597, 0.165, 165, 0, 2702.597, 2704.214, 1.617, 825, 2704.214, 2704.325, 0.11, 110, 0, 2704.325, 2711.99, 7.665, 3300, 2711.99, 2712.1, 0.11, 110, 0, 2712.1, 2712.1, 0, 0,    11.984,
 270, 0, 2710, 2710, 2710.126, 0.126, 120, 0, 2710.126, 2712.696, 2.57, 1200, 2712.696, 2712.876, 0.18, 180, 0, 2712.876, 2714.619, 1.743, 900, 2714.619, 2714.739, 0.12, 120, 0, 2714.739, 2722.842, 8.102, 3600, 2722.842, 2722.962, 0.12, 120, 0, 2722.962, 2722.962, 0, 0,    12.836,
 271, 0, 2720, 2720, 2720.116, 0.116, 110, 0, 2720.116, 2722.397, 2.281, 1100, 2722.397, 2722.562, 0.165, 165, 0, 2722.562, 2724.443, 1.881, 825, 2724.443, 2724.553, 0.11, 110, 0, 2724.553, 2732.392, 7.839, 3300, 2732.392, 2732.502, 0.11, 110, 0, 2732.502, 2732.502, 0, 0,    12.386,
 272, 0, 2730, 2730, 2730.116, 0.116, 110, 0, 2730.116, 2732.228, 2.112, 1100, 2732.228, 2732.393, 0.165, 165, 0, 2732.393, 2733.901, 1.508, 825, 2733.901, 2734.011, 0.11, 110, 0, 2734.011, 2742.069, 8.057, 3300, 2742.069, 2742.179, 0.11, 110, 0, 2742.179, 2742.179, 0, 0,    12.063,
 273, 0, 2740, 2740, 2740.116, 0.116, 110, 0, 2740.116, 2742.372, 2.256, 1100, 2742.372, 2742.537, 0.165, 165, 0, 2742.537, 2744.213, 1.676, 825, 2744.213, 2744.323, 0.11, 110, 0, 2744.323, 2750.854, 6.531, 3300, 2750.854, 2750.964, 0.11, 110, 0, 2750.964, 2750.964, 0, 0,    10.848,
 274, 0, 2750, 2750, 2750.126, 0.126, 120, 0, 2750.126, 2752.606, 2.48, 1200, 2752.606, 2752.786, 0.18, 180, 0, 2752.786, 2754.745, 1.959, 900, 2754.745, 2754.866, 0.12, 120, 0, 2754.866, 2761.829, 6.964, 3600, 2761.829, 2761.949, 0.12, 120, 0, 2761.949, 2761.949, 0, 0,    11.823,
 275, 0, 2760, 2760, 2760.116, 0.116, 110, 0, 2760.116, 2762.566, 2.45, 1100, 2762.566, 2762.731, 0.165, 165, 0, 2762.731, 2764.43, 1.699, 825, 2764.43, 2764.54, 0.11, 110, 0, 2764.54, 2770.694, 6.154, 3300, 2770.694, 2770.804, 0.11, 110, 0, 2770.804, 2770.804, 0, 0,    10.688,
 276, 0, 2770, 2770, 2770.126, 0.126, 120, 0, 2770.126, 2772.856, 2.73, 1200, 2772.856, 2773.036, 0.18, 180, 0, 2773.036, 2774.764, 1.728, 900, 2774.764, 2774.884, 0.12, 120, 0, 2774.884, 2781.634, 6.75, 3600, 2781.634, 2781.754, 0.12, 120, 0, 2781.754, 2781.754, 0, 0,    11.628,
 277, 0, 2780, 2780, 2780.126, 0.126, 120, 0, 2780.126, 2782.607, 2.481, 1200, 2782.607, 2782.788, 0.18, 180, 0, 2782.788, 2784.485, 1.697, 900, 2784.485, 2784.605, 0.12, 120, 0, 2784.605, 2792.944, 8.339, 3600, 2792.944, 2793.064, 0.12, 120, 0, 2793.064, 2793.064, 0, 0,    12.938,
 278, 0, 2790, 2790, 2790.116, 0.116, 110, 0, 2790.116, 2792.528, 2.412, 1100, 2792.528, 2792.693, 0.165, 165, 0, 2792.693, 2794.526, 1.833, 825, 2794.526, 2794.636, 0.11, 110, 0, 2794.636, 2802.416, 7.779, 3300, 2802.416, 2802.526, 0.11, 110, 0, 2802.526, 2802.526, 0, 0,    12.410,
 279, 0, 2800, 2800, 2800.116, 0.116, 110, 0, 2800.116, 2802.396, 2.279, 1100, 2802.396, 2802.561, 0.165, 165, 0, 2802.561, 2804.445, 1.884, 825, 2804.445, 2804.555, 0.11, 110, 0, 2804.555, 2811.143, 6.588, 3300, 2811.143, 2811.253, 0.11, 110, 0, 2811.253, 2811.253, 0, 0,    11.137,
 280, 0, 2810, 2810, 2810.116, 0.116, 110, 0, 2810.116, 2812.317, 2.201, 1100, 2812.317, 2812.482, 0.165, 165, 0, 2812.482, 2814.411, 1.929, 825, 2814.411, 2814.521, 0.11, 110, 0, 2814.521, 2822.276, 7.755, 3300, 2822.276, 2822.387, 0.11, 110, 0, 2822.387, 2822.387, 0, 0,    12.271,
 281, 0, 2820, 2820, 2820.116, 0.116, 110, 0, 2820.116, 2822.708, 2.592, 1100, 2822.708, 2822.873, 0.165, 165, 0, 2822.873, 2824.591, 1.717, 825, 2824.591, 2824.701, 0.11, 110, 0, 2824.701, 2831.644, 6.943, 3300, 2831.644, 2831.754, 0.11, 110, 0, 2831.754, 2831.754, 0, 0,    11.638,
 282, 0, 2830, 2830, 2830.116, 0.116, 110, 0, 2830.116, 2832.388, 2.272, 1100, 2832.388, 2832.553, 0.165, 165, 0, 2832.553, 2834.304, 1.751, 825, 2834.304, 2834.414, 0.11, 110, 0, 2834.414, 2842.654, 8.24, 3300, 2842.654, 2842.764, 0.11, 110, 0, 2842.764, 2842.764, 0, 0,    12.648,
 283, 0, 2840, 2840, 2840.126, 0.126, 120, 0, 2840.126, 2842.884, 2.758, 1200, 2842.884, 2843.064, 0.18, 180, 0, 2843.064, 2845.367, 2.302, 900, 2845.367, 2845.487, 0.12, 120, 0, 2845.487, 2854.145, 8.658, 3600, 2854.145, 2854.265, 0.12, 120, 0, 2854.265, 2854.265, 0, 0,    14.139,
 284, 0, 2850, 2850, 2850.116, 0.116, 110, 0, 2850.116, 2852.478, 2.362, 1100, 2852.478, 2852.643, 0.165, 165, 0, 2852.643, 2854.616, 1.973, 825, 2854.616, 2854.726, 0.11, 110, 0, 2854.726, 2861.701, 6.974, 3300, 2861.701, 2861.811, 0.11, 110, 0, 2861.811, 2861.811, 0, 0,    11.695,
 285, 0, 2860, 2860, 2860.116, 0.116, 110, 0, 2860.116, 2862.277, 2.161, 1100, 2862.277, 2862.442, 0.165, 165, 0, 2862.442, 2864.158, 1.716, 825, 2864.158, 2864.268, 0.11, 110, 0, 2864.268, 2871.249, 6.981, 3300, 2871.249, 2871.359, 0.11, 110, 0, 2871.359, 2871.359, 0, 0,    11.243,
 286, 0, 2870, 2870, 2870.126, 0.126, 120, 0, 2870.126, 2872.649, 2.523, 1200, 2872.649, 2872.829, 0.18, 180, 0, 2872.829, 2875.086, 2.257, 900, 2875.086, 2875.206, 0.12, 120, 0, 2875.206, 2882.059, 6.853, 3600, 2882.059, 2882.179, 0.12, 120, 0, 2882.179, 2882.179, 0, 0,    12.053,
 287, 0, 2880, 2880, 2880.126, 0.126, 120, 0, 2880.126, 2883.032, 2.906, 1200, 2883.032, 2883.212, 0.18, 180, 0, 2883.212, 2885.204, 1.992, 900, 2885.204, 2885.324, 0.12, 120, 0, 2885.324, 2892.034, 6.71, 3600, 2892.034, 2892.154, 0.12, 120, 0, 2892.154, 2892.154, 0, 0,    12.028,
 288, 0, 2890, 2890, 2890.126, 0.126, 120, 0, 2890.126, 2892.419, 2.293, 1200, 2892.419, 2892.599, 0.18, 180, 0, 2892.599, 2894.275, 1.676, 900, 2894.275, 2894.395, 0.12, 120, 0, 2894.395, 2901.581, 7.186, 3600, 2901.581, 2901.701, 0.12, 120, 0, 2901.701, 2901.701, 0, 0,    11.575,
 289, 0, 2900, 2900, 2900.126, 0.126, 120, 0, 2900.126, 2902.945, 2.819, 1200, 2902.945, 2903.125, 0.18, 180, 0, 2903.125, 2905.091, 1.966, 900, 2905.091, 2905.211, 0.12, 120, 0, 2905.211, 2912.357, 7.146, 3600, 2912.357, 2912.477, 0.12, 120, 0, 2912.477, 2912.477, 0, 0,    12.352,
